engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2910660.800,2910660.800,4157440,173862912,173985792,186200064,692224,189157376,189157376,189157376,189157376,202137600
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23287.200,23287.200,174014464,174923776,174927872,186200064,189157376,189968384,189968384,189968384,189968384,202137600
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23104.400,23104.400,174927872,175005696,175005696,186200064,189968384,189968384,189968384,189968384,189968384,202137600
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23051.200,23051.200,175005696,175079424,173641728,186200064,189968384,189968384,188489728,189968384,189968384,202137600
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23078.500,23078.500,173641728,174977024,174977024,186200064,188489728,190070784,190070784,190070784,190070784,202137600
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,22799.500,22799.500,174977024,175075328,175075328,186200064,190070784,190070784,190070784,190070784,190070784,202137600
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23113.000,23113.000,175075328,175091712,175091712,186200064,190070784,190074880,190074880,190074880,190074880,202137600
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,22881.300,22881.300,175091712,175161344,175161344,186200064,190074880,190074880,190074880,190074880,190074880,202137600
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22730.100,22730.100,175161344,175214592,175214592,186200064,190074880,190074880,190074880,190074880,190074880,202137600
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,22949.100,22949.100,175214592,175198208,unavailable,186200064,190074880,190074880,unavailable,190074880,190074880,202137600
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,22902.100,22902.100,175198208,175206400,unavailable,186200064,190074880,190074880,unavailable,190074880,190074880,202137600
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,22985.000,22985.000,175206400,175210496,unavailable,186200064,190074880,190074880,unavailable,190074880,190074880,202137600
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,22988.300,22988.300,175210496,175226880,unavailable,186200064,190074880,190074880,unavailable,190074880,190074880,202137600
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,22987.600,22987.600,175226880,175230976,unavailable,186200064,190074880,190074880,unavailable,190074880,190074880,202137600
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23006.200,23006.200,175230976,175263744,unavailable,186200064,190074880,190074880,unavailable,190074880,190074880,202137600
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23108.400,23108.400,175263744,175271936,unavailable,186200064,190074880,190074880,unavailable,190074880,190074880,202137600
