"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","607.578","300.492","2.022","307.086","185827328","15917056","194076672","4939776"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","458.260","1224.600","0.374","-766.340","185827328","17612800","195813376","6402048"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","53.067","15.467","3.431","37.600","185827328","13869056","191827968","4952064"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","57.500","21.100","2.725","36.400","185827328","13635584","190689280","4558848"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","71.400","17.700","4.034","53.700","185827328","13869056","190689280","4587520"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1063.163","683.461","1.556","379.702","185827328","17612800","195035136","6254592"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","155.800","173.225","0.899","-17.425","185827328","13869056","192499712","4747264"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","486.240","853.830","0.569","-367.590","185827328","17707008","196603904","6332416"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22683.200","24992.600","0.908","-2309.400","185827328","13635584","190197760","3530752"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22601.200","23805.900","0.949","-1204.700","185827328","13479936","189218816","3776512"
