engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2832161.900,2832161.900,4153344,173322240,173436928,185827328,688128,188268544,188268544,188268544,188268544,201678848
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23080.800,23080.800,173465600,175325184,174080000,185827328,188268544,189952000,188366848,189952000,189952000,201678848
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,22542.400,22542.400,174080000,175357952,174112768,185827328,188366848,189952000,188366848,189952000,189952000,201678848
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,22511.500,22511.500,174112768,174817280,174817280,185827328,188366848,189181952,189181952,189181952,189181952,201678848
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,22460.200,22460.200,174817280,174841856,174841856,185827328,189181952,189181952,189181952,189181952,189181952,201678848
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,22706.600,22706.600,174841856,174882816,174882816,185827328,189181952,189218816,189218816,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,22601.200,22601.200,174882816,174878720,174878720,185827328,189218816,189218816,189218816,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,22716.600,22716.600,174878720,174870528,174870528,185827328,189218816,189218816,189218816,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22409.700,22409.700,174870528,174899200,174899200,185827328,189218816,189218816,189218816,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,22566.300,22566.300,174899200,174911488,unavailable,185827328,189218816,189218816,unavailable,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,22618.200,22618.200,174911488,174915584,unavailable,185827328,189218816,189218816,unavailable,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,22663.500,22663.500,174915584,174911488,unavailable,185827328,189218816,189218816,unavailable,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23022.000,23022.000,174911488,174907392,unavailable,185827328,189218816,189218816,unavailable,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,22801.400,22801.400,174907392,174899200,unavailable,185827328,189218816,189218816,unavailable,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,22628.800,22628.800,174903296,174915584,unavailable,185827328,189218816,189218816,unavailable,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,22587.700,22587.700,174915584,174903296,unavailable,185827328,189218816,189218816,unavailable,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,22525.100,22525.100,174903296,174899200,unavailable,185827328,189218816,189218816,unavailable,189218816,189218816,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,22683.200,22683.200,174899200,174903296,unavailable,185827328,189218816,189222912,unavailable,189222912,189222912,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,22614.000,22614.000,174903296,174911488,unavailable,185827328,189222912,189222912,unavailable,189222912,189222912,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,22685.700,22685.700,174911488,174915584,unavailable,185827328,189222912,189222912,unavailable,189222912,189222912,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,22568.700,22568.700,174915584,174911488,unavailable,185827328,189222912,189222912,unavailable,189222912,189222912,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,22659.100,22659.100,174911488,174915584,unavailable,185827328,189222912,189227008,unavailable,189227008,189227008,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,22581.500,22581.500,174915584,174927872,unavailable,185827328,189227008,189227008,unavailable,189227008,189227008,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,22616.300,22616.300,174927872,174956544,unavailable,185827328,189227008,189227008,unavailable,189227008,189227008,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,22870.900,22870.900,174956544,175005696,unavailable,185827328,189227008,189227008,unavailable,189227008,189227008,201678848
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,23155.200,23155.200,175005696,175050752,unavailable,185827328,189227008,189227008,unavailable,189227008,189227008,201678848
