"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","635.619","308.632","2.059","326.987","185745408","16023552","194412544","4919296"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","469.610","1244.200","0.377","-774.590","185745408","17264640","196448256","6029312"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","52.033","15.633","3.328","36.400","185745408","13795328","191893504","4878336"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","57.000","21.300","2.676","35.700","185745408","13656064","191102976","4583424"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","70.850","17.950","3.947","52.900","185745408","13721600","191893504","4337664"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1060.431","690.014","1.537","370.417","185745408","17264640","195186688","6070272"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","154.762","181.050","0.855","-26.288","185745408","13815808","193454080","4734976"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","474.800","867.050","0.548","-392.250","185745408","17264640","197238784","6111232"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23392.400","31641.300","0.739","-8248.900","185745408","13656064","190308352","3411968"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23376.900","32032.200","0.730","-8655.300","185745408","13463552","190128128","3866624"
