"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","597.070","295.241","2.022","301.829","186294272","15904768","193765376","5050368"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","481.430","1210.470","0.398","-729.040","186294272","17555456","196530176","6242304"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","25.300","15.300","1.654","10.000","186294272","13893632","192069632","4575232"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","57.900","20.900","2.770","37.000","186294272","13684736","191324160","4898816"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","43.650","17.500","2.494","26.150","186294272","13893632","191324160","4575232"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1056.093","673.914","1.567","382.179","186294272","17555456","195674112","6262784"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","45.125","172.250","0.262","-127.125","186294272","13934592","193863680","4857856"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","504.560","846.010","0.596","-341.450","186294272","17555456","198115328","6254592"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22532.600","26693.500","0.844","-4160.900","186294272","13684736","190431232","3514368"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22285.700","62765.600","0.355","-40479.900","186294272","13479936","189636608","3829760"
