kind,workload,input,metric,unit,run1_observed,run2_observed,run3_observed,run4_observed,run5_observed,median_observed,worst_observed,spread_pct,ceiling,individual_failures,verdict
latency_ratio,key_sequence_process_with_context,n,yune_librime_median_ratio,x,2.818,2.797,2.889,2.662,2.863,2.818,2.889,8.5,3.006,0,pass
latency_ratio,key_sequence_process_with_context,ni,yune_librime_median_ratio,x,1.966,1.971,2.02,1.83,2.015,1.971,2.02,10.4,2.666,0,pass
latency_ratio,key_sequence_process_with_context,hao,yune_librime_median_ratio,x,1.259,1.266,1.31,1.217,1.314,1.266,1.314,8,1.844,0,pass
latency_ratio,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,yune_librime_median_ratio,x,1.986,1.993,2.023,2.031,1.981,1.993,2.031,2.5,2.339,0,pass
latency_ratio,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune_librime_median_ratio,x,1.629,1.564,1.606,1.646,1.572,1.606,1.646,5.2,1.748,0,pass
memory_peak,,,track_a_peak_working_set_bytes,bytes,191787008,191795200,192212992,191844352,191807488,191807488,192212992,0.2,195028378,0,pass
latency_ratio,key_sequence_process_with_context,zhongguo,yune_librime_median_ratio,x,0.272,0.264,0.276,0.265,0.275,0.272,0.276,4.5,0.323,0,pass
latency_ratio,key_sequence_process_with_context,cszysmsrsd,yune_librime_median_ratio,x,0.404,0.406,0.413,0.411,0.406,0.406,0.413,2.2,0.474,0,pass
latency_ratio,key_sequence_process_with_context,zybfshmsru,yune_librime_median_ratio,x,0.601,0.577,0.593,0.619,0.603,0.601,0.619,7.3,0.695,0,pass
latency_ratio,startup_warm_shared_assets_runtime_ready,,yune_librime_median_ratio,x,0.922,0.868,0.875,0.916,0.926,0.916,0.926,6.7,1.091,0,pass
latency_absolute_us,session_create_select_destroy,,median_us,us,22674.9,22784.7,24060.1,22894.1,22622.3,22784.7,24060.1,6.4,25470.280,0,pass
latency_absolute_us,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_us,us,332.216,334.544,323.757,334.516,335.472,334.516,335.472,3.6,347.975,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_working_set_bytes,bytes,70295552,70049792,70316032,70516736,70545408,70316032,70545408,0.7,88012390,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,max_peak_working_set_bytes,bytes,271441920,271618048,271749120,272031744,271499264,271618048,272031744,0.2,562033050,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_private_bytes,bytes,33710080,33579008,33869824,34033664,34074624,33869824,34074624,1.5,39460045,0,pass
latency_absolute_us,track-b-product/session_create_select_destroy,,median_us,us,37245,36903.4,36604.8,36863.5,37055.9,36903.4,37245,1.7,39289.800,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_working_set_bytes,bytes,50618368,50540544,50171904,50061312,50483200,50483200,50618368,1.1,66872115,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,max_peak_working_set_bytes,bytes,271441920,271618048,271749120,272031744,271499264,271618048,272031744,0.2,562033050,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_private_bytes,bytes,28340224,28807168,26775552,28053504,27574272,28053504,28807168,7.6,32084378,0,pass
latency_absolute_us,track-b-product/startup_warm_shared_assets_runtime_ready,,median_us,us,35894.5,36244.6,35761.5,36362.5,35943.3,35943.3,36362.5,1.7,38825.050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_working_set_bytes,bytes,67416064,67383296,66977792,67129344,67219456,67219456,67416064,0.7,86196634,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,max_peak_working_set_bytes,bytes,271441920,271618048,271749120,272031744,271499264,271618048,272031744,0.2,562033050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_private_bytes,bytes,32821248,33267712,31223808,32956416,31899648,32821248,33267712,6.5,37865062,0,pass
latency_ratio,key_sequence_process_with_context,zh,yune_librime_median_ratio,x,0.983,0.977,1.021,0.987,0.999,0.987,1.021,4.5,1.047,0,pass
latency_ratio,key_sequence_process_with_context,j,yune_librime_median_ratio,x,3.822,3.87,3.974,4.053,3.974,3.974,4.053,6,4.372,0,pass
latency_ratio,key_sequence_process_with_context,yi,yune_librime_median_ratio,x,2.406,2.432,2.509,2.467,2.458,2.458,2.509,4.3,6.098,0,pass
latency_ratio,key_sequence_process_with_context,che,yune_librime_median_ratio,x,1.005,0.991,0.982,1.034,1.03,1.005,1.034,5.3,1.160,0,pass
latency_ratio,key_sequence_process_with_context,chuang,yune_librime_median_ratio,x,1.023,1.001,1.012,1.037,1.048,1.023,1.048,4.7,1.357,0,pass
latency_ratio,key_sequence_process_with_context,b,yune_librime_median_ratio,x,3.288,3.286,3.361,3.454,3.433,3.361,3.454,5.1,3.775,0,pass
latency_ratio,key_sequence_process_with_context,ceshi,yune_librime_median_ratio,x,0.829,0.809,0.823,0.845,0.831,0.829,0.845,4.4,0.966,0,pass
latency_ratio,key_sequence_process_with_context,zhongdengchangdu,yune_librime_median_ratio,x,0.299,0.296,0.301,0.306,0.299,0.299,0.306,3.4,0.342,0,pass
