"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","57.100","17.100","3.339","40.000","189468672","17760256","204349440","8581120"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","36.780","44.560","0.825","-7.780","189759488","17760256","204374016","8830976"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","646.554","301.530","2.144","345.024","185905152","15900672","193945600","4915200"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","47.467","47.333","1.003","0.134","187273216","17760256","200933376","6225920"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","37.850","36.450","1.038","1.400","188035072","17760256","202665984","8646656"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","491.710","1219.300","0.403","-727.590","185905152","17760256","196161536","6193152"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","38.362","44.812","0.856","-6.450","191856640","17760256","206446592","7282688"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","19.533","15.433","1.266","4.100","185905152","13856768","192581632","4714496"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","61.400","15.400","3.987","46.000","185905152","17760256","199675904","6303744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","58.700","21.300","2.756","37.400","185905152","13598720","190996480","4378624"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","34.900","17.900","1.950","17.000","185905152","13856768","190996480","4726784"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","35.750","14.350","2.491","21.400","186183680","17760256","200306688","6836224"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","65.300","65.100","1.003","0.200","185905152","17760256","198709248","7745536"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1165.646","682.041","1.709","483.605","185905152","17240064","195530752","6025216"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","102.569","341.312","0.301","-238.743","191340544","17760256","205959168","7970816"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","47.238","193.812","0.244","-146.574","185905152","13856768","193286144","4616192"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","485.210","852.130","0.569","-366.920","185905152","17760256","196988928","6004736"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","24021.300","26445.800","0.908","-2424.500","185905152","13598720","190205952","3469312"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23923.900","26802.100","0.893","-2878.200","185905152","13438976","190181376","3756032"
