"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","56.300","16.300","3.454","40.000","188829696","17149952","204050432","6873088"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","36.660","43.360","0.845","-6.700","189153280","17149952","203997184","7249920"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","594.824","292.849","2.031","301.975","185835520","15831040","194584576","5185536"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","48.133","46.533","1.034","1.600","187047936","17149952","201838592","6397952"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","37.233","35.900","1.037","1.333","187797504","17149952","202633216","7380992"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","492.330","1197.970","0.411","-705.640","185835520","17149952","196186112","6033408"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","38.700","43.700","0.886","-5.000","191844352","17149952","206741504","7016448"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","19.600","16.100","1.217","3.500","185835520","13680640","192204800","4763648"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","61.600","15.200","4.053","46.400","185835520","17149952","199626752","6549504"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","59.100","22.200","2.662","36.900","185835520","13537280","191414272","4575232"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","33.950","18.550","1.830","15.400","185835520","13680640","191414272","4673536"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","35.150","14.250","2.467","20.900","185843712","17149952","200421376","6807552"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","63.850","64.700","0.987","-0.850","185835520","17149952","198836224","6316032"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1109.153","673.759","1.646","435.394","185835520","17149952","195555328","5959680"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","103.362","337.775","0.306","-234.413","190644224","17149952","205549568","7131136"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","46.425","175.050","0.265","-128.625","185835520","13795328","193789952","4964352"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","523.780","846.450","0.619","-322.670","185835520","17149952","197251072","6725632"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22894.100","24025.200","0.953","-1131.100","185835520","13537280","190455808","3690496"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22876.900","24975.300","0.916","-2098.400","185835520","13385728","190451712","3731456"
