"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","55.900","19.100","2.927","36.800","159907840","17526784","99250176","6811648"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","39.720","46.120","0.861","-6.400","159907840","17526784","99848192","6627328"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","67.570","295.511","0.229","-227.941","159907840","15953920","90112000","5386240"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","48.400","49.267","0.982","-0.867","159907840","17526784","96681984","7639040"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","38.983","38.300","1.018","0.683","159907840","17526784","97660928","7487488"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","523.890","1206.190","0.434","-682.300","159907840","17223680","92262400","6107136"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","39.487","47.012","0.840","-7.525","159907840","17526784","101457920","7086080"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20.100","15.333","1.311","4.767","159907840","13864960","88264704","5251072"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","60.200","18.000","3.344","42.200","159907840","17526784","94543872","6348800"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","58.600","20.900","2.804","37.700","159907840","13598720","86859776","4993024"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","34.400","17.200","2.000","17.200","159907840","13864960","87400448","4911104"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","35.450","16.550","2.142","18.900","159907840","17526784","95969280","6160384"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","65.000","67.400","0.964","-2.400","159907840","17526784","93949952","7639040"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","84.229","666.073","0.126","-581.844","159907840","17223680","91168768","6049792"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","51.075","341.356","0.150","-290.281","159907840","17526784","100667392","6750208"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","47.788","171.988","0.278","-124.200","159907840","13864960","89042944","5115904"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","521.520","840.280","0.621","-318.760","159907840","17526784","92803072","6336512"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23937.000","27441.400","0.872","-3504.400","159907840","13582336","83701760","3371008"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23810.300","25413.800","0.937","-1603.500","159907840","13418496","85606400","3739648"
