"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","5.600","16.500","0.339","-10.900","153784320","17149952","101957632","7098368"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","5.780","43.780","0.132","-38.000","153784320","17149952","102658048","7323648"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5.386","293.157","0.018","-287.771","153784320","15855616","93356032","5210112"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","5.600","47.300","0.118","-41.700","153784320","17149952","99745792","6324224"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","5.667","36.133","0.157","-30.466","153784320","17149952","101486592","6586368"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","5.440","1199.370","0.005","-1193.930","153784320","17149952","98410496","5992448"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","5.562","44.038","0.126","-38.476","153784320","17149952","105115648","7303168"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","4.200","15.233","0.276","-11.033","153784320","13897728","91533312","4800512"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","5.600","15.300","0.366","-9.700","153784320","17149952","98238464","6877184"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","4.200","20.600","0.204","-16.400","153784320","13692928","90058752","5156864"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4.200","17.250","0.243","-13.050","153784320","13897728","90505216","4911104"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","5.550","14.250","0.389","-8.700","153784320","17149952","99094528","6811648"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","5.550","66.700","0.083","-61.150","153784320","17149952","97722368","6295552"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5.375","669.836","0.008","-664.461","153784320","17149952","94093312","5873664"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","5.513","337.263","0.016","-331.750","153784320","17149952","104325120","7323648"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","5.987","173.450","0.035","-167.463","153784320","13897728","92672000","4939776"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","5.460","836.300","0.007","-830.840","153784320","17149952","99225600","6512640"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23004.100","22974.900","1.001","29.200","153784320","13692928","87498752","3575808"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22507.300","23609.100","0.953","-1101.800","153784320","13418496","89399296","3833856"
