"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","5.500","16.600","0.331","-11.100","153710592","17145856","102010880","6823936"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","5.680","44.500","0.128","-38.820","153710592","17145856","103432192","8011776"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5.446","296.151","0.018","-290.705","153710592","16015360","93483008","5214208"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","5.467","47.000","0.116","-41.533","153710592","17145856","99610624","7782400"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","5.550","36.817","0.151","-31.267","153710592","17145856","101339136","7741440"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","5.380","1205.460","0.004","-1200.080","153710592","17145856","95203328","6078464"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","5.500","44.438","0.124","-38.938","153710592","17145856","104882176","8720384"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","4.267","15.067","0.283","-10.800","153710592","13938688","92020736","5251072"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","5.500","15.300","0.359","-9.800","153710592","17145856","98893824","6418432"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","4.200","20.200","0.208","-16.000","153710592","13742080","90492928","4526080"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4.250","17.000","0.250","-12.750","153710592","13901824","91197440","4759552"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","5.500","14.200","0.387","-8.700","153710592","17145856","99577856","7782400"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","5.500","65.300","0.084","-59.800","153710592","17145856","97832960","7507968"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5.444","671.854","0.008","-666.410","153710592","17145856","94658560","5910528"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","5.525","343.412","0.016","-337.887","153710592","17145856","104255488","6881280"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","6.025","171.075","0.035","-165.050","153710592","13963264","92991488","5058560"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","5.380","843.110","0.006","-837.730","153710592","17145856","98828288","6254592"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23110.700","22245.900","1.039","864.800","153710592","13742080","87674880","3444736"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22509.800","23518.700","0.957","-1008.900","153710592","13541376","89399296","3817472"
