"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","16.600","17.800","23.900","23.900","13807616","17145856","6823936","8720384"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","44.500","51.000","68.420","68.420","15486976","17145856","8011776","8720384"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","296.151","307.886","324.392","324.392","15618048","16015360","5214208","6631424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","47.000","50.067","75.633","75.633","15548416","17145856","7782400","8720384"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","36.817","47.783","51.467","51.467","14438400","17145856","7741440","8720384"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1205.460","1274.840","1330.390","1330.390","16162816","17145856","6078464","7692288"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","44.438","45.013","45.250","45.250","16027648","17145856","8720384","8720384"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.067","16.500","38.367","38.367","12500992","13938688","5251072","6631424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","15.300","16.000","25.300","25.300","13803520","17145856","6418432","7761920"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.200","21.200","42.300","42.300","11988992","13742080","4526080","6631424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.000","17.700","18.200","18.200","12193792","13901824","4759552","6631424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","14.200","18.100","33.600","33.600","15261696","17145856","7782400","7782400"
