"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","5.500","16.700","0.329","-11.200","153714688","17117184","103071744","7909376"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","5.740","44.300","0.130","-38.560","153714688","17117184","103071744","7139328"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5.470","301.938","0.018","-296.468","153714688","15822848","93339648","5222400"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","5.600","47.300","0.118","-41.700","153714688","17117184","99762176","6967296"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","5.617","36.700","0.153","-31.083","153714688","17117184","102281216","6508544"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","5.520","1209.130","0.005","-1203.610","153714688","17117184","95965184","6168576"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","5.625","45.375","0.124","-39.750","153714688","17338368","104325120","7278592"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","4.200","15.333","0.274","-11.133","153714688","13783040","91222016","4681728"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","5.600","15.500","0.361","-9.900","153714688","17117184","98213888","6471680"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","4.200","21.100","0.199","-16.900","153714688","13647872","90148864","4444160"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4.200","17.550","0.239","-13.350","153714688","13729792","90923008","4653056"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","5.550","14.350","0.387","-8.800","153714688","17117184","99135488","6381568"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","5.500","65.000","0.085","-59.500","153714688","17117184","97992704","6524928"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5.459","678.000","0.008","-672.541","153714688","17117184","94007296","5853184"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","5.562","341.500","0.016","-335.938","153714688","17338368","104488960","8232960"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","6.075","179.125","0.034","-173.050","153714688","13881344","92237824","4624384"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","5.420","850.640","0.006","-845.220","153714688","17117184","96083968","6184960"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23666.900","25178.800","0.940","-1511.900","153714688","13647872","87707648","3637248"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23242.000","26403.800","0.880","-3161.800","153714688","13434880","89235456","3739648"
