"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","16.500","18.200","72.100","72.100","15228928","17182720","8224768","8224768"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","43.920","45.600","49.400","49.400","14536704","17182720","7159808","8224768"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","296.378","306.235","322.635","322.635","15630336","15896576","5173248","6541312"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","46.200","49.433","58.033","58.033","14237696","17182720","6606848","7753728"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","35.967","36.633","46.483","46.483","14270464","17182720","6803456","8204288"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1193.440","1216.980","1318.690","1318.690","16269312","17182720","6135808","7393280"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","44.762","45.500","48.538","48.538","16072704","17182720","8204288","8691712"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.067","15.600","21.833","21.833","12308480","13692928","4935680","6385664"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","15.200","16.000","18.900","18.900","13729792","17182720","6340608","7725056"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","21.000","22.200","52.900","52.900","11993088","13570048","4575232","6385664"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.350","19.650","46.800","46.800","12054528","13623296","4616192","6385664"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","14.150","14.700","46.350","46.350","13664256","17182720","6266880","7753728"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","64.050","66.550","75.400","75.400","14163968","17182720","6504448","7725056"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","665.893","682.107","693.856","693.856","16846848","17182720","5931008","6721536"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","339.875","352.744","376.150","376.150","16543744","17182720","7864320","8691712"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","170.050","178.625","248.887","248.887","13377536","13807616","4939776","6422528"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","835.980","869.610","952.960","952.960","16183296","17182720","6213632","7680000"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23417.000","27920.100","34641.200","34641.200","10620928","13570048","3448832","6385664"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","25880.700","43238.100","43238.100","43238.100","10936320","13398016","3780608","6176768"
