"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80.000","16.700","4.790","63.300","181243904","17281024","142843904","7475200"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","51.480","44.280","1.163","7.200","182366208","17281024","143687680","7823360"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","63.065","295.524","0.213","-232.459","166031360","15757312","127475712","5234688"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","246.133","47.633","5.167","198.500","175222784","17281024","135073792","7024640"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","139.317","36.867","3.779","102.450","177819648","17281024","139321344","6815744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","17146.930","1223.040","14.020","15923.890","169803776","17281024","131366912","6270976"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","47.825","44.650","1.071","3.175","184422400","17281024","144306176","7196672"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","28.900","15.167","1.905","13.733","158957568","13742080","102719488","4763648"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","82.400","15.600","5.282","66.800","173027328","17281024","133419008","6750208"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","93.100","21.100","4.412","72.000","156663808","13586432","101269504","4526080"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","51.550","17.400","2.963","34.150","157712384","13697024","96456704","4665344"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","47.250","14.450","3.270","32.800","175222784","17281024","136065024","6721536"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","376.350","65.800","5.720","310.550","170561536","17281024","132399104","6508544"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","87.185","673.776","0.129","-586.591","169803776","17281024","131833856","6090752"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","262.944","346.006","0.760","-83.062","184422400","17281024","142983168","7483392"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","463.663","175.888","2.636","287.775","162967552","13811712","124268544","5095424"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","9430.140","854.230","11.039","8575.910","170561536","17281024","133500928","6717440"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22721.200","29736.600","0.764","-7015.400","155172864","13586432","94564352","3514368"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2839999.000","28909.900","98.236","2811089.100","155172864","13410304","96182272","3764224"
