"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","16.700","18.200","50.700","50.700","14471168","17281024","7475200","8429568"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","44.280","57.480","115.100","115.100","14962688","17281024","7823360","8429568"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","295.524","302.116","324.297","324.297","15630336","15757312","5234688","6553600"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","47.633","55.933","77.933","77.933","14499840","17281024","7024640","7983104"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","36.867","41.250","53.817","53.817","14237696","17281024","6815744","8429568"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1223.040","1315.530","1355.080","1355.080","16191488","17281024","6270976","7475200"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","44.650","45.712","46.600","46.600","15036416","17281024","7196672","8429568"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.167","16.533","34.567","34.567","12152832","13742080","4763648","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","15.600","16.700","22.600","22.600","14147584","17281024","6750208","7843840"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","21.100","22.300","83.700","83.700","12009472","13586432","4526080","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.400","20.900","54.800","54.800","12083200","13697024","4665344","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","14.450","15.150","18.300","18.300","14090240","17281024","6721536","7843840"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","65.800","69.050","75.500","75.500","14176256","17281024","6508544","7557120"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","673.776","704.263","748.800","748.800","16945152","17281024","6090752","6873088"
