"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","5.500","16.600","0.331","-11.100","153899008","17416192","102727680","7958528"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","5.740","43.940","0.131","-38.200","153899008","17416192","103522304","8634368"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5.470","305.786","0.018","-300.316","153899008","15908864","93421568","4866048"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","5.533","46.533","0.119","-41.000","153899008","17416192","100208640","7696384"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","5.567","36.283","0.153","-30.716","153899008","17416192","101937152","8634368"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","5.430","1236.820","0.004","-1231.390","153899008","17416192","94384128","6205440"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","5.488","44.413","0.124","-38.925","153899008","17534976","105103360","8617984"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","4.167","15.200","0.274","-11.033","153899008","13824000","91537408","4554752"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","5.500","15.500","0.355","-10.000","153899008","17416192","98504704","7614464"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","4.100","20.700","0.198","-16.600","153899008","13512704","90132480","4239360"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4.100","17.250","0.238","-13.150","153899008","13824000","91230208","4362240"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","5.500","14.150","0.389","-8.650","153899008","17416192","99393536","7696384"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","5.450","65.400","0.083","-59.950","153899008","17416192","97636352","6037504"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5.400","685.163","0.008","-679.763","153899008","17416192","94392320","6119424"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","5.506","349.694","0.016","-344.188","153899008","17534976","104312832","7065600"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","6.000","174.825","0.034","-168.825","153899008","14815232","92995584","4657152"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","5.400","874.330","0.006","-868.930","153899008","17416192","95252480","6258688"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23583.500","22621.500","1.043","962.000","153899008","13512704","87826432","3293184"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23082.900","25248.000","0.914","-2165.100","153899008","13365248","89473024","3801088"
