"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","16.600","18.500","64.700","64.700","15175680","17825792","8388608","8728576"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","44.880","46.740","65.340","65.340","15777792","17825792","8728576","8728576"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","303.835","313.165","334.178","334.178","15298560","15917056","4927488","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","47.467","55.933","103.800","103.800","15638528","17825792","7790592","7790592"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","36.883","43.350","53.300","53.300","15958016","17825792","8728576","8728576"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1229.820","1273.790","1343.560","1343.560","16240640","17825792","6213632","7655424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","44.725","46.162","59.712","59.712","16080896","17825792","8216576","8732672"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.133","16.267","35.300","35.300","11919360","13721600","4505600","6389760"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","15.500","16.300","16.500","16.500","15069184","17825792","7651328","7655424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.900","22.400","23.700","23.700","11747328","13512704","4644864","6320128"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.400","18.600","47.900","47.900","11788288","13721600","4329472","6381568"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","14.250","15.650","42.650","42.650","15237120","17825792","7720960","7720960"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","65.800","86.800","149.250","149.250","13873152","17825792","5914624","7655424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","683.646","716.793","766.524","766.524","16990208","17371136","6082560","6557696"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","342.394","355.212","364.988","364.988","17620992","17825792","8732672","8732672"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","181.875","204.788","301.238","301.238","12820480","13721600","4435968","6389760"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","860.830","884.790","891.880","891.880","16216064","17825792","6184960","7655424"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23812.000","29798.700","88224.100","88224.100","10530816","13508608","3444736","6320128"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","25523.400","45796.100","45796.100","45796.100","10969088","13422592","3825664","6168576"
