"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","16.600","17.900","51.400","51.400","13664256","17219584","6631424","8187904"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","44.580","55.580","68.600","68.600","14221312","17219584","6758400","8187904"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","295.365","305.868","326.757","326.757","15622144","15859712","5210112","6676480"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","47.067","48.100","57.267","57.267","14245888","17219584","6356992","7999488"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","36.733","40.617","44.700","44.700","14430208","17219584","7647232","8187904"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1206.580","1275.040","1387.190","1387.190","16334848","17219584","6463488","7639040"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","44.388","45.263","49.325","49.325","15974400","17219584","8110080","8187904"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.133","15.933","17.700","17.700","12140544","13811712","4829184","6463488"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","15.200","16.100","20.200","20.200","15224832","17219584","7700480","7700480"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.600","22.000","68.500","68.500","11751424","13574144","4386816","6356992"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.550","20.850","49.850","49.850","11874304","13811712","4542464","6463488"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","14.100","15.200","38.500","38.500","15388672","17219584","7921664","7921664"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","63.700","66.550","72.250","72.250","14053376","17219584","6258688","7643136"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","666.227","681.600","686.208","686.208","16916480","17219584","5947392","7172096"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","342.756","403.244","426.913","426.913","16203776","17219584","6864896","8187904"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","172.325","185.950","188.713","188.713","13103104","13836288","4710400","6533120"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","847.970","912.120","931.210","931.210","16035840","17219584","6119424","7639040"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22676.500","29353.000","32601.400","32601.400","10629120","13574144","3375104","6356992"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23622.900","42717.000","42717.000","42717.000","10928128","13414400","3768320","6144000"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","5.500","5.900","6.400","6.400","113229824","153923584","101924864","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","5.780","5.900","10.180","10.180","113778688","153923584","102551552","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","5.416","5.578","5.900","5.900","105119744","153923584","93347840","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","5.567","5.800","5.867","5.867","111738880","153923584","100360192","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","5.617","5.800","6.150","6.150","112463872","153923584","101298176","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","5.480","6.070","8.570","8.570","106184704","153923584","94892032","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","5.600","5.775","6.225","6.225","116662272","153923584","105549824","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","4.200","4.400","4.533","4.533","103305216","153923584","91713536","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","5.500","6.200","6.800","6.800","110002176","153923584","98779136","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","4.100","4.500","6.600","6.600","101900288","153923584","90374144","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","4.200","4.400","4.450","4.450","102457344","153923584","90869760","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","5.600","5.850","6.050","6.050","110915584","153923584","99569664","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","5.500","5.800","7.100","7.100","109101056","153923584","97804288","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","5.383","5.512","5.702","5.702","106147840","153923584","94593024","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","5.588","5.688","5.875","5.875","115318784","153923584","103968768","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","6.000","6.175","6.487","6.487","104132608","153923584","92426240","175230976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","5.420","10.740","13.670","13.670","110587904","153923584","98775040","175230976"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23526.800","25113.300","25547.900","25547.900","98320384","153923584","87474176","175230976"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23115.200","2992856.400","2992856.400","2992856.400","100442112","153923584","89165824","175230976"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","11.328","11.592","11.790","11.790","64286720","253218816","27406336","300408832"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","16901.800","18324.800","21458.100","21458.100","63897600","253218816","29315072","300408832"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","17501.700","202638.600","202638.600","202638.600","63463424","253218816","28868608","300408832"
