"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","5.600","16.700","0.335","-11.100","153878528","17248256","101916672","7888896"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","5.760","43.880","0.131","-38.120","153878528","17248256","102584320","7135232"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5.476","298.541","0.018","-293.065","153878528","15810560","93351936","5201920"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","5.567","46.967","0.119","-41.400","153878528","17248256","100356096","6172672"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","5.650","36.583","0.154","-30.933","153878528","17248256","101289984","6397952"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","5.480","1213.780","0.005","-1208.300","153878528","17248256","98689024","5939200"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","5.537","44.713","0.124","-39.176","153878528","17248256","104673280","8359936"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","4.233","15.233","0.278","-11.000","153878528","13815808","91967488","4849664"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","5.600","15.500","0.361","-9.900","153878528","17248256","98566144","6651904"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","4.200","20.800","0.202","-16.600","153878528","13590528","90349568","4612096"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4.200","17.400","0.241","-13.200","153878528","13815808","90873856","4923392"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","5.550","14.250","0.389","-8.700","153878528","17248256","99418112","7954432"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","5.550","65.200","0.085","-59.650","153878528","17248256","97722368","6209536"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5.420","674.539","0.008","-669.119","153878528","17248256","94674944","5894144"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","5.588","344.488","0.016","-338.900","153878528","17248256","104001536","6778880"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","5.900","173.975","0.034","-168.075","153878528","13819904","92844032","4980736"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","5.500","853.350","0.006","-847.850","153878528","17248256","98660352","5963776"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22970.000","24269.400","0.946","-1299.400","153878528","13590528","87416832","3551232"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22654.800","24910.100","0.909","-2255.300","153878528","13365248","89321472","3678208"
