"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","16.800","18.200","52.400","52.400","15040512","17784832","7827456","8622080"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","44.140","45.340","47.060","47.060","15585280","17784832","8183808","8622080"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","304.489","320.797","346.232","346.232","15380480","15863808","4902912","6488064"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","47.267","54.133","99.167","99.167","13914112","17784832","6144000","7708672"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","36.467","37.900","47.900","47.900","14307328","17784832","7176192","8622080"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1220.180","1237.620","1277.960","1277.960","16232448","17784832","6103040","7430144"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","44.400","45.112","45.400","45.400","15056896","17784832","7262208","8622080"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.267","16.900","38.467","38.467","11927552","13750272","4648960","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","15.700","16.600","22.700","22.700","15081472","17784832","7708672","7708672"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.700","21.300","26.300","26.300","11804672","13578240","4386816","6381568"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.600","18.050","20.200","20.200","11816960","13750272","4378624","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","14.550","19.650","41.150","41.150","15179776","17784832","7708672","7708672"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","64.100","67.150","67.850","67.850","15437824","17784832","7565312","7569408"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","683.478","699.002","711.476","711.476","17125376","17784832","6258688","6950912"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","351.831","395.525","424.556","424.556","17465344","17784832","8183808","8622080"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","173.800","192.688","288.900","288.900","13115392","13787136","4706304","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","856.570","872.870","874.720","874.720","16150528","17784832","6205440","7569408"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","30967.400","33841.100","39075.700","39075.700","10690560","13578240","3436544","6381568"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","30921.600","44850.900","44850.900","44850.900","10919936","13434880","3702784","6172672"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","5.700","6.300","10.000","10.000","113238016","153755648","102035456","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","5.860","6.020","6.220","6.220","113913856","153755648","102797312","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","5.595","5.724","6.562","6.562","104964096","153755648","93278208","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","5.700","6.000","6.233","6.233","111403008","153755648","100130816","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","5.750","5.917","6.500","6.500","112881664","153755648","102031360","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","5.510","5.720","5.780","5.780","106008576","153755648","94248960","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","5.638","5.875","6.275","6.275","116383744","153755648","105299968","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","4.400","4.900","5.900","5.900","103124992","153755648","91471872","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","5.600","6.000","6.300","6.300","109645824","153755648","98422784","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","4.300","4.800","5.000","5.000","101588992","153755648","90193920","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","4.450","4.700","4.850","4.850","102273024","153755648","90734592","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","5.650","6.150","7.950","7.950","110493696","153755648","99241984","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","5.550","6.300","6.500","6.500","109019136","153755648","97583104","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","5.517","5.629","6.137","6.137","105869312","153755648","94269440","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","5.619","6.019","6.431","6.431","114860032","153755648","103714816","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","6.175","6.362","6.725","6.725","104091648","153755648","92356608","175185920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","5.540","5.740","6.510","6.510","106721280","153755648","95719424","175185920"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","24450.300","27277.600","28351.300","28351.300","98254848","153755648","87965696","175185920"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23908.700","2947205.700","2947205.700","2947205.700","100397056","153755648","89464832","175185920"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","16.608","16.774","16.943","16.943","66785280","253194240","30081024","300314624"
