"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","46211.400","46211.400","7032832","10526720","9883648","11640832","1597440","3260416","2686976","3260416","3260416","5623808"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","27779.200","27779.200","9887744","10862592","9908224","13250560","2686976","3530752","2613248","3530752","3530752","5918720"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","28220.900","28220.900","9908224","10854400","9957376","13266944","2613248","3633152","2621440","3633152","3633152","5955584"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","24252.800","24252.800","9957376","10915840","10039296","13328384","2621440","3719168","2703360","3719168","3719168","6025216"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","24117.800","24117.800","10039296","10919936","10039296","13398016","2703360","3698688","2691072","3698688","3698688","6135808"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","25329.700","25329.700","10039296","10936320","10043392","13398016","2691072","3739648","2760704","3739648","3739648","6135808"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","23479.000","23479.000","10043392","10960896","10051584","13398016","2760704","3756032","2703360","3756032","3756032","6135808"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","29613.000","29613.000","10051584","10944512","10063872","13398016","2703360","3719168","2711552","3719168","3719168","6135808"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","25932.100","25932.100","10063872","10964992","10092544","13410304","2711552","3821568","2850816","3821568","3821568","6135808"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","27140.000","27140.000","10096640","10280960","unavailable","13410304","2854912","2936832","unavailable","2936832","2936832","6135808"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","24404.800","24404.800","10280960","10407936","unavailable","13455360","2936832","3915776","unavailable","3915776","3915776","6205440"
