engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2990921.700,2990921.700,4145152,101535744,97644544,153866240,675840,91172864,87982080,91172864,91172864,175427584
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23958.900,23958.900,97669120,101036032,97554432,153866240,88002560,91430912,86487040,91430912,91430912,175427584
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23959.100,23959.100,97554432,100495360,97443840,153866240,86515712,89731072,86269952,89731072,89731072,175427584
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23460.700,23460.700,97456128,100241408,97583104,153866240,86294528,89661440,86622208,89661440,89661440,175427584
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23548.300,23548.300,97583104,100245504,97652736,153866240,86622208,89145344,86364160,89145344,89145344,175427584
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,24152.700,24152.700,97652736,100278272,97566720,153866240,86364160,89251840,86224896,89251840,89251840,175427584
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23436.400,23436.400,97570816,100286464,97632256,153866240,86228992,89251840,86364160,89251840,89251840,175427584
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,23376.500,23376.500,97632256,100335616,97652736,153866240,86364160,89251840,86364160,89251840,89251840,175427584
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23325.000,23325.000,97652736,100315136,97677312,153866240,86364160,89214976,86536192,89214976,89214976,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23637.700,23637.700,97681408,97783808,unavailable,153866240,86589440,86482944,unavailable,86482944,86482944,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23663.600,23663.600,97783808,97755136,unavailable,153866240,86482944,86536192,unavailable,86536192,86536192,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23568.600,23568.600,97755136,97804288,unavailable,153866240,86536192,86466560,unavailable,86466560,86466560,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23720.300,23720.300,97804288,97808384,unavailable,153866240,86466560,86511616,unavailable,86511616,86511616,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23528.100,23528.100,97808384,97816576,unavailable,153866240,86511616,86425600,unavailable,86425600,86425600,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23574.200,23574.200,97816576,97898496,unavailable,153866240,86425600,86626304,unavailable,86626304,86626304,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23654.700,23654.700,97898496,97853440,unavailable,153866240,86626304,86560768,unavailable,86560768,86560768,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,23516.900,23516.900,97853440,97898496,unavailable,153866240,86560768,86560768,unavailable,86560768,86560768,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23522.600,23522.600,97898496,97853440,unavailable,153866240,86560768,86507520,unavailable,86507520,86507520,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,23762.000,23762.000,97853440,97845248,unavailable,153866240,86507520,86507520,unavailable,86507520,86507520,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23601.600,23601.600,97845248,97718272,unavailable,153866240,86507520,86335488,unavailable,86335488,86335488,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,23921.500,23921.500,97718272,97927168,unavailable,153866240,86335488,86532096,unavailable,86532096,86532096,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,24084.600,24084.600,97927168,98058240,unavailable,153866240,86532096,86679552,unavailable,86679552,86679552,175427584
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,24298.100,24298.100,98058240,97796096,unavailable,153866240,86679552,86650880,unavailable,86650880,86650880,175427584
