engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,206631.900,206631.900,9658368,63410176,63512576,253313024,5263360,28565504,29298688,29298688,29298688,300539904
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,17522.500,17522.500,63533056,63950848,63950848,253313024,30146560,30568448,30568448,30568448,30568448,300539904
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,17291.400,17291.400,63950848,63979520,63979520,253313024,30568448,30584832,30584832,30584832,30584832,300539904
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,17212.000,17212.000,63995904,64008192,64008192,253313024,30584832,30584832,30584832,30584832,30584832,300539904
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,17247.400,17247.400,64008192,64045056,64045056,253313024,30584832,30625792,30625792,30625792,30625792,300539904
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,17313.600,17313.600,64049152,64049152,64049152,253313024,30625792,30625792,30625792,30625792,30625792,300539904
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,17296.800,17296.800,64049152,64049152,64049152,253313024,30625792,30625792,30625792,30625792,30625792,300539904
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,17163.000,17163.000,64086016,64090112,64090112,253313024,30625792,30625792,30625792,30625792,30625792,300539904
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,17168.800,17168.800,64090112,64090112,64090112,253313024,30625792,30625792,30625792,30625792,30625792,300539904
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,17323.800,17323.800,64090112,64098304,unavailable,253313024,30625792,30625792,unavailable,30625792,30625792,300539904
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,17193.800,17193.800,64098304,64118784,unavailable,253313024,30625792,30646272,unavailable,30646272,30646272,300539904
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,17244.200,17244.200,64122880,64122880,unavailable,253313024,30646272,30646272,unavailable,30646272,30646272,300539904
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,17088.100,17088.100,64126976,64126976,unavailable,253313024,30646272,30646272,unavailable,30646272,30646272,300539904
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,17142.700,17142.700,64131072,64131072,unavailable,253313024,30646272,30646272,unavailable,30646272,30646272,300539904
