engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,b,80,80,5.700,5.900,8.300,8.300,113532928,154198016,102477824,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshi,80,400,5.860,6.220,6.380,6.380,114327552,154198016,103518208,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,5.586,5.803,7.432,7.432,104849408,154198016,93249536,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,che,80,240,5.667,5.967,7.467,7.467,111497216,154198016,99958784,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,chuang,80,480,5.750,6.017,8.683,8.683,112783360,154198016,101687296,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,80,800,5.570,5.810,7.750,7.750,106258432,154198016,95404032,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,dazisudu,80,640,5.663,5.900,6.350,6.350,116215808,154198016,105349120,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,80,240,4.233,4.467,6.367,6.367,103337984,154198016,91795456,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,j,80,80,5.700,6.000,6.400,6.400,109715456,154198016,98377728,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,80,80,4.300,4.700,5.200,5.200,101601280,154198016,90189824,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,80,160,4.250,4.550,6.050,6.050,102481920,154198016,91009024,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,yi,80,160,5.650,6.050,14.100,14.100,110497792,154198016,99168256,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zh,80,160,5.650,5.900,6.500,6.500,109547520,154198016,98381824,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,4720,5.573,5.819,5.922,5.922,105873408,154198016,94326784,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongdengchangdu,80,1280,5.694,5.869,5.950,5.950,115179520,154198016,103931904,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,80,640,6.125,6.350,6.575,6.575,104013824,154198016,92393472,176103424
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,80,800,5.540,5.760,5.990,5.990,106921984,154198016,95297536,176103424
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,60,60,23139.200,24421.100,26472.400,26472.400,98152448,154198016,87977984,176103424
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,9,9,23165.000,2889713.900,2889713.900,2889713.900,100270080,154198016,89063424,176103424
