engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,b,80,80,16.500,19.300,56.200,56.200,15261696,17575936,8777728,8777728
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshi,80,400,43.680,47.600,57.700,57.700,15618048,17575936,8765440,8777728
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,300.481,308.670,334.097,334.097,15360000,16031744,4968448,6524928
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,che,80,240,47.400,54.200,101.433,101.433,13811712,17575936,5984256,7839744
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,chuang,80,480,36.550,37.733,41.067,41.067,16146432,17575936,8777728,8777728
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,80,800,1236.420,1297.010,1381.880,1381.880,16257024,17498112,6066176,7700480
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,dazisudu,80,640,43.875,45.025,47.587,47.587,15998976,17575936,8777728,8777728
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,80,240,15.367,17.000,23.833,23.833,12091392,13852672,5382144,6524928
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,j,80,80,15.400,16.200,22.200,22.200,15273984,17575936,7770112,7770112
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,80,80,20.600,23.700,66.400,66.400,11874304,13590528,4358144,6418432
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,80,160,17.450,19.350,45.000,45.000,11898880,13852672,4464640,6524928
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,yi,80,160,14.500,15.250,45.400,45.400,15351808,17575936,7770112,7770112
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zh,80,160,64.300,95.250,118.350,118.350,15380480,17575936,7663616,7700480
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,4720,682.719,735.578,788.480,788.480,17154048,17498112,6295552,7225344
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongdengchangdu,80,1280,341.819,344.675,352.350,352.350,16347136,17575936,6959104,8777728
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,80,640,172.325,188.100,309.162,309.162,13074432,13852672,4681728,6524928
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,80,800,861.680,905.780,942.240,942.240,16216064,17575936,6266880,7700480
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,60,60,24096.300,29300.800,33329.800,33329.800,10670080,13565952,3481600,6418432
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,9,9,25115.800,52619.700,52619.700,52619.700,10924032,13414400,3784704,6139904
