engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2912869.300,2912869.300,4153344,101597184,96608256,153956352,679936,92880896,86482944,92880896,92880896,175915008
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23806.100,23806.100,96628736,100388864,97624064,153956352,86482944,90157056,86700032,90157056,90157056,175915008
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23475.500,23475.500,97628160,100491264,97619968,153956352,86700032,89632768,87703552,89632768,89632768,175915008
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23358.400,23358.400,97619968,100442112,97730560,153956352,87703552,89661440,87158784,89661440,89661440,175915008
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23517.100,23517.100,97730560,100401152,97611776,153956352,87158784,89059328,86388736,89059328,89059328,175915008
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,23470.700,23470.700,97611776,100483072,97456128,153956352,86388736,89198592,87023616,89198592,89198592,175915008
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,24763.200,24763.200,97456128,100429824,97767424,153956352,87023616,89198592,86392832,89198592,89198592,175915008
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,23987.700,23987.700,97767424,100257792,97705984,153956352,86392832,89038848,87216128,89038848,89038848,175915008
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23358.500,23358.500,97705984,100458496,97513472,153956352,87216128,89178112,86433792,89178112,89178112,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23707.200,23707.200,97513472,97755136,unavailable,153956352,86478848,86589440,unavailable,86589440,86589440,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23644.400,23644.400,97755136,97652736,unavailable,153956352,86589440,86503424,unavailable,86503424,86503424,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23809.900,23809.900,97656832,97734656,unavailable,153956352,86503424,87363584,unavailable,87363584,87363584,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23709.100,23709.100,97734656,97714176,unavailable,153956352,87363584,86556672,unavailable,86556672,86556672,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,24311.100,24311.100,97714176,97820672,unavailable,153956352,86556672,87363584,unavailable,87363584,87363584,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23629.300,23629.300,97845248,97792000,unavailable,153956352,87363584,87351296,unavailable,87351296,87351296,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23733.000,23733.000,97792000,97992704,unavailable,153956352,87351296,87445504,unavailable,87445504,87445504,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,24029.100,24029.100,97992704,97849344,unavailable,153956352,87445504,87433216,unavailable,87433216,87433216,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23849.600,23849.600,97849344,97894400,unavailable,153956352,87433216,86745088,unavailable,86745088,86745088,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,24806.100,24806.100,97894400,97939456,unavailable,153956352,86745088,86700032,unavailable,86700032,86700032,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,24451.500,24451.500,97939456,97959936,unavailable,153956352,86700032,87543808,unavailable,87543808,87543808,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,23963.000,23963.000,97964032,97910784,unavailable,153956352,87543808,86745088,unavailable,86745088,86745088,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,24059.100,24059.100,97914880,97902592,unavailable,153956352,86745088,86765568,unavailable,86765568,86765568,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,23720.800,23720.800,97902592,97902592,unavailable,153956352,86765568,87560192,unavailable,87560192,87560192,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,23939.400,23939.400,97906688,98217984,unavailable,153956352,87560192,86888448,unavailable,86888448,86888448,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,24819.700,24819.700,98217984,97984512,unavailable,153956352,86888448,86798336,unavailable,86798336,86798336,175915008
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,24092.700,24092.700,97984512,98037760,unavailable,153956352,86798336,87764992,unavailable,87764992,87764992,175915008
