"engine","track","schema_id","input","iterations","table_path","prism_path","selected_storage","table_mapping_mode","prism_mapping_mode","raw_prism_median_us","raw_prism_code_count","raw_table_median_us","raw_table_lookup_codes","raw_table_candidate_count","translator_median_us","real_prism_lookup_median_us","candidate_materialization_median_us","candidate_sort_median_us","filter_pipeline_median_us","ranker_pipeline_median_us","context_export_median_us","abi_c_string_allocation_median_us","free_context_median_us","rsmarisa_exact_lookup_calls_per_op","rsmarisa_prefix_lookup_calls_per_op","owned_candidates_per_op","context_page_candidates_per_op","abi_c_string_allocations_per_op","abi_c_string_bytes_per_op"
"yune","track-a-comparison","luna_pinyin","n","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","26","151.500","n|na|nai|nan|nang|nao|ne|nei|nen|neng|ni|nia|nian|niang|niao|nie|nin|ning|niu|nong|nou|nu|nuan|nun|nuo|nv|nve","1260","0.300","0.000","0.000","0.000","0.600","0.000","1.400","0.400","0.100","0.000","0.000","0.000","5.000","11.000","38.000"
"yune","track-a-comparison","luna_pinyin","ni","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.100","1","17.700","ni","182","0.350","0.000","0.000","0.050","0.550","0.000","1.500","0.450","0.100","0.000","0.000","0.000","5.000","11.500","40.000"
"yune","track-a-comparison","luna_pinyin","hao","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","1","14.000","hao","139","0.333","0.000","0.000","0.033","0.533","0.033","1.500","0.433","0.133","0.000","0.000","0.000","5.000","11.667","42.667"
"yune","track-a-comparison","luna_pinyin","zhongguo","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","2.100","zhongguo","4","0.875","0.000","0.000","0.037","1.512","0.025","1.450","0.463","0.125","0.000","0.000","0.000","5.000","11.500","77.625"
"yune","track-a-comparison","luna_pinyin","ceshiyixiachangjushuruxingnengzenyang","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","29.600","ceshiyixiachangjushuruxingnengzenyang","0","0.727","0.000","0.000","0.035","1.468","0.024","1.114","0.330","0.114","0.000","0.000","0.000","5.000","8.108","100.649"
"yune","track-a-comparison","luna_pinyin","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","36.200","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","0","0.719","0.000","0.000","0.036","1.385","0.025","1.085","0.310","0.114","0.000","0.000","0.000","5.000","7.492","110.966"
"yune","track-a-comparison","luna_pinyin","cszysmsrsd","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.800","cszysmsrsd","0","0.780","0.000","0.000","0.030","1.470","0.020","1.160","0.290","0.100","0.000","0.000","0.000","5.000","7.400","87.200"
"yune","track-a-comparison","luna_pinyin","zybfshmsru","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.800","zybfshmsru","0","0.760","0.000","0.000","0.030","1.400","0.020","1.160","0.280","0.090","0.000","0.000","0.000","5.000","7.400","83.000"
"yune","track-a-comparison","luna_pinyin","zh","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","20","298.200","zh|zha|zhai|zhan|zhang|zhao|zhe|zhei|zhen|zheng|zhi|zhong|zhou|zhu|zhua|zhuai|zhuan|zhuang|zhui|zhun|zhuo","2776","0.750","0.000","0.000","0.050","1.350","0.000","1.400","0.400","0.100","0.000","0.000","0.000","5.000","11.000","43.500"
"yune","track-a-comparison","luna_pinyin","j","80","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run4\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","14","389.600","j|ji|jia|jian|jiang|jiao|jie|jin|jing|jiong|jiu|ju|juan|jue|jun","3766","0.700","0.000","0.000","0.000","1.400","0.000","1.400","0.400","0.100","0.000","0.000","0.000","5.000","11.000","38.000"
