"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","5.800","17.000","0.341","-11.200","153915392","17727488","102469632","7249920"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","5.780","44.260","0.131","-38.480","153915392","17727488","103260160","7933952"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5.641","303.054","0.019","-297.413","153915392","16166912","93749248","5038080"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","5.700","46.933","0.121","-41.233","153915392","17727488","99708928","6307840"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","5.833","36.300","0.161","-30.467","153915392","17727488","101679104","8790016"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","5.660","1239.990","0.005","-1234.330","153915392","17727488","95948800","6205440"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","5.713","44.188","0.129","-38.475","153915392","17870848","105467904","8306688"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","4.367","15.400","0.284","-11.033","153915392","13877248","91652096","4796416"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","5.700","15.300","0.373","-9.600","153915392","17727488","97935360","7786496"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","4.300","21.300","0.202","-17.000","153915392","13656064","90259456","4493312"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4.350","17.600","0.247","-13.250","153915392","13877248","90976256","4521984"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","5.700","14.350","0.397","-8.650","153915392","17727488","98807808","7856128"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","5.700","65.150","0.087","-59.450","153915392","17727488","97939456","5931008"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5.603","682.697","0.008","-677.094","153915392","17465344","94388224","6385664"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","5.675","344.725","0.016","-339.050","153915392","17870848","104677376","8314880"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","6.200","174.037","0.036","-167.837","153915392","13877248","92643328","4780032"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","5.560","873.890","0.006","-868.330","153915392","17727488","95494144","6287360"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23705.200","24982.700","0.949","-1277.500","153915392","13656064","87871488","3457024"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23538.400","27988.300","0.841","-4449.900","153915392","13455360","89137152","3858432"
