"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","17.000","18.200","61.300","61.300","14098432","17727488","7249920","8790016"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","44.260","46.760","63.520","63.520","15564800","17727488","7933952","8790016"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","303.054","315.338","325.165","325.165","15478784","16166912","5038080","6594560"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","46.933","49.367","57.300","57.300","13799424","17727488","6307840","7856128"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","36.300","37.750","48.533","48.533","16183296","17727488","8790016","8790016"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1239.990","1293.120","1394.920","1394.920","16293888","17727488","6205440","7573504"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","44.188","50.000","81.975","81.975","16044032","17870848","8306688","8790016"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.400","15.833","17.333","17.333","12197888","13877248","4796416","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","15.300","17.700","22.700","22.700","15167488","17727488","7786496","7786496"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","21.300","22.700","57.800","57.800","11898880","13656064","4493312","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.600","19.100","82.800","82.800","11972608","13877248","4521984","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","14.350","14.950","41.750","41.750","15400960","17727488","7856128","7856128"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","65.150","71.700","175.600","175.600","13836288","17727488","5931008","7647232"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","682.697","705.473","707.442","707.442","17117184","17465344","6385664","7282688"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","344.725","358.269","402.375","402.375","17870848","17870848","8314880","8790016"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","174.037","188.162","194.375","194.375","13152256","13877248","4780032","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","873.890","923.860","986.290","986.290","16179200","17727488","6287360","7647232"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","24982.700","33593.000","43868.600","43868.600","10657792","13656064","3457024","6524928"
