kind,workload,input,metric,unit,run1_observed,run2_observed,run3_observed,run4_observed,run5_observed,median_observed,worst_observed,spread_pct,ceiling,individual_failures,verdict
latency_ratio,key_sequence_process_with_context,n,yune_librime_median_ratio,x,0.208,0.204,0.206,0.209,0.214,0.208,0.214,4.9,3.006,0,pass
latency_ratio,key_sequence_process_with_context,ni,yune_librime_median_ratio,x,0.246,0.24,0.245,0.254,0.252,0.246,0.254,5.8,2.666,0,pass
latency_ratio,key_sequence_process_with_context,hao,yune_librime_median_ratio,x,0.284,0.27,0.276,0.293,0.284,0.284,0.293,8.5,1.844,0,pass
latency_ratio,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,yune_librime_median_ratio,x,0.023,0.022,0.022,0.023,0.022,0.022,0.023,4.5,2.339,0,pass
latency_ratio,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune_librime_median_ratio,x,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,1.748,0,pass
memory_peak,,,track_a_peak_working_set_bytes,bytes,153784320,153821184,153878528,153985024,153944064,153878528,153985024,0.1,195028378,0,pass
latency_ratio,key_sequence_process_with_context,zhongguo,yune_librime_median_ratio,x,0.039,0.037,0.038,0.039,0.038,0.038,0.039,5.4,0.323,0,pass
latency_ratio,key_sequence_process_with_context,cszysmsrsd,yune_librime_median_ratio,x,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.474,0,pass
latency_ratio,key_sequence_process_with_context,zybfshmsru,yune_librime_median_ratio,x,0.008,0.007,0.008,0.008,0.008,0.008,0.008,14.3,0.695,0,pass
latency_ratio,startup_warm_shared_assets_runtime_ready,,yune_librime_median_ratio,x,0.751,0.944,0.985,0.973,0.954,0.954,0.985,31.2,1.091,0,pass
latency_absolute_us,session_create_select_destroy,,median_us,us,23472,23282.8,23449.7,23854.4,23188.2,23449.7,23854.4,2.9,25470.280,0,pass
latency_absolute_us,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_us,us,17.003,17.81,17.177,18.025,17.036,17.177,18.025,6,347.975,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_working_set_bytes,bytes,66899968,67088384,66985984,66228224,64405504,66899968,67088384,4.2,88012390,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,max_peak_working_set_bytes,bytes,253841408,253263872,253472768,253427712,253820928,253472768,253841408,0.2,562033050,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_private_bytes,bytes,30228480,30339072,30277632,29941760,27410432,30228480,30339072,10.7,39460045,0,pass
latency_absolute_us,track-b-product/session_create_select_destroy,,median_us,us,16920.3,17615.9,17435.8,17983.6,17590.8,17590.8,17983.6,6.3,39289.800,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_working_set_bytes,bytes,63504384,64167936,64331776,63852544,63811584,63852544,64331776,1.3,66872115,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,max_peak_working_set_bytes,bytes,253841408,253263872,253472768,253427712,253820928,253472768,253841408,0.2,562033050,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_private_bytes,bytes,28360704,30027776,28467200,30310400,29982720,29982720,30310400,6.9,32084378,0,pass
latency_absolute_us,track-b-product/startup_warm_shared_assets_runtime_ready,,median_us,us,17011.9,17611.5,17552.6,17707.8,17524.4,17552.6,17707.8,4.1,38825.050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_working_set_bytes,bytes,63221760,63549440,63725568,63270912,63651840,63549440,63725568,0.8,86196634,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,max_peak_working_set_bytes,bytes,253841408,253263872,253472768,253427712,253820928,253472768,253841408,0.2,562033050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_private_bytes,bytes,28499968,29093888,27873280,29831168,29958144,29093888,29958144,7.5,37865062,0,pass
latency_ratio,key_sequence_process_with_context,zh,yune_librime_median_ratio,x,0.101,0.094,0.1,0.099,0.095,0.099,0.101,7.4,1.047,0,pass
latency_ratio,key_sequence_process_with_context,j,yune_librime_median_ratio,x,0.419,0.383,0.393,0.418,0.399,0.399,0.419,9.4,4.372,0,pass
latency_ratio,key_sequence_process_with_context,yi,yune_librime_median_ratio,x,0.441,0.414,0.434,0.446,0.433,0.434,0.446,7.7,6.098,0,pass
latency_ratio,key_sequence_process_with_context,che,yune_librime_median_ratio,x,0.136,0.129,0.134,0.14,0.132,0.134,0.14,8.5,1.160,0,pass
latency_ratio,key_sequence_process_with_context,chuang,yune_librime_median_ratio,x,0.176,0.168,0.169,0.176,0.174,0.174,0.176,4.8,1.357,0,pass
latency_ratio,key_sequence_process_with_context,b,yune_librime_median_ratio,x,0.381,0.368,0.383,0.376,0.38,0.38,0.383,4.1,3.775,0,pass
latency_ratio,key_sequence_process_with_context,ceshi,yune_librime_median_ratio,x,0.146,0.141,0.143,0.146,0.143,0.143,0.146,3.5,0.966,0,pass
latency_ratio,key_sequence_process_with_context,zhongdengchangdu,yune_librime_median_ratio,x,0.019,0.018,0.019,0.019,0.019,0.019,0.019,5.6,0.342,0,pass
latency_ratio,key_sequence_process_with_context,dazisudu,yune_librime_median_ratio,x,0.147,0.14,0.142,0.147,0.144,0.144,0.147,5,1.098,0,pass
