engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,204956.500,204956.500,9252864,62382080,62488576,253841408,4751360,26906624,27611136,27611136,27611136,301096960
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,17899.600,17899.600,62509056,63107072,63107072,253841408,27611136,28385280,28405760,28405760,28405760,301096960
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,17015.000,17015.000,63107072,63168512,63168512,253841408,28405760,28418048,28418048,28418048,28418048,301096960
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,17002.900,17002.900,63168512,63180800,63180800,253841408,28418048,28459008,28499968,28499968,28499968,301096960
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,17011.900,17011.900,63180800,63221760,63221760,253841408,28499968,28499968,28499968,28499968,28499968,301096960
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,17179.900,17179.900,63221760,63221760,63221760,253841408,28499968,28499968,28499968,28499968,28499968,301096960
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,16880.200,16880.200,63221760,63221760,63221760,253841408,28499968,28499968,28499968,28499968,28499968,301096960
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,16781.500,16781.500,63225856,63242240,63242240,253841408,28499968,28516352,28516352,28516352,28516352,301096960
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,16869.100,16869.100,63242240,63242240,63242240,253841408,28516352,28516352,28516352,28516352,28516352,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,16776.000,16776.000,63242240,63258624,unavailable,253841408,28516352,28532736,unavailable,28532736,28532736,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,16698.000,16698.000,63258624,63270912,unavailable,253841408,28532736,28532736,unavailable,28532736,28532736,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,16563.100,16563.100,63270912,63287296,unavailable,253841408,28532736,28532736,unavailable,28532736,28532736,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,16604.200,16604.200,63287296,63287296,unavailable,253841408,28532736,28532736,unavailable,28532736,28532736,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,16546.300,16546.300,63287296,63172608,unavailable,253841408,28532736,27992064,unavailable,27992064,27992064,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,16588.300,16588.300,63176704,63176704,unavailable,253841408,27992064,27992064,unavailable,27992064,27992064,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,16632.900,16632.900,63176704,63205376,unavailable,253841408,27992064,27992064,unavailable,27992064,27992064,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,17617.000,17617.000,63205376,63275008,unavailable,253841408,27992064,28016640,unavailable,28016640,28016640,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,17116.600,17116.600,63275008,63299584,unavailable,253841408,28016640,28041216,unavailable,28041216,28041216,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,16711.000,16711.000,63299584,63324160,unavailable,253841408,28041216,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,16560.100,16560.100,63324160,63328256,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,16498.700,16498.700,63328256,63328256,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,16593.300,16593.300,63328256,63328256,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,13,1,16547.600,16547.600,63328256,63328256,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,14,1,16456.400,16456.400,63328256,63328256,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,15,1,16604.100,16604.100,63328256,63328256,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,16,1,16635.400,16635.400,63332352,63332352,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,17,1,16503.700,16503.700,63336448,63336448,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,18,1,16559.500,16559.500,63340544,63336448,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,19,1,16653.400,16653.400,63340544,63340544,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,20,1,16558.500,16558.500,63344640,63344640,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,21,1,16760.600,16760.600,63344640,63344640,unavailable,253841408,28065792,28065792,unavailable,28065792,28065792,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,22,1,16981.600,16981.600,63348736,63496192,unavailable,253841408,28065792,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,23,1,17100.400,17100.400,63496192,63496192,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,24,1,16903.200,16903.200,63496192,63492096,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,25,1,16809.000,16809.000,63496192,63496192,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,26,1,16631.600,16631.600,63500288,63500288,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,27,1,16653.800,16653.800,63504384,63500288,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,28,1,16994.800,16994.800,63504384,63504384,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,29,1,17358.400,17358.400,63508480,63504384,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,30,1,17410.300,17410.300,63508480,63541248,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,31,1,17291.400,17291.400,63545344,63545344,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,32,1,17031.400,17031.400,63549440,63549440,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,33,1,17597.900,17597.900,63553536,63553536,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,34,1,17289.400,17289.400,63553536,63553536,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,35,1,16998.300,16998.300,63557632,63557632,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,36,1,17396.100,17396.100,63561728,63561728,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,37,1,17153.100,17153.100,63565824,63590400,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,38,1,16966.900,16966.900,63594496,63590400,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,39,1,17103.100,17103.100,63594496,63594496,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,40,1,16906.300,16906.300,63598592,63606784,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,41,1,17018.300,17018.300,63614976,63610880,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,42,1,16862.600,16862.600,63614976,63614976,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,43,1,16978.300,16978.300,63619072,63619072,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,44,1,16731.500,16731.500,63623168,63623168,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,45,1,16598.800,16598.800,63627264,63696896,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,46,1,16738.300,16738.300,63700992,63725568,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,47,1,16920.300,16920.300,63729664,63737856,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,48,1,16934.000,16934.000,63741952,63741952,unavailable,253841408,28360704,28360704,unavailable,28360704,28360704,301096960
