engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,50132.600,50132.600,7020544,10506240,9879552,11608064,1581056,3301376,3379200,3379200,3379200,5599232
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,25496.900,25496.900,9883648,10788864,9871360,13238272,3379200,3493888,2473984,3493888,3493888,5918720
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,28248.000,28248.000,9871360,10883072,9908224,13238272,2473984,3616768,2514944,3616768,3616768,5918720
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,24427.700,24427.700,9908224,10915840,10010624,13320192,2514944,3772416,2707456,3772416,3772416,5988352
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23678.900,23678.900,10010624,10936320,10010624,13320192,2707456,3723264,2670592,3723264,3723264,6049792
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,22490.400,22490.400,10010624,10936320,10027008,13324288,2670592,3764224,2674688,3764224,3764224,6049792
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,21801.100,21801.100,10027008,10932224,10031104,13389824,2674688,3715072,2691072,3715072,3715072,6123520
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,30881.600,30881.600,10031104,10928128,10059776,13389824,2691072,3702784,2715648,3702784,3702784,6123520
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23499.600,23499.600,10059776,10932224,10076160,13398016,2715648,3796992,2736128,3796992,3796992,6123520
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,25289.600,25289.600,10076160,10309632,unavailable,13398016,2736128,3117056,unavailable,3117056,3117056,6123520
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,21908.300,21908.300,10309632,10338304,unavailable,13451264,3117056,3276800,unavailable,3276800,3276800,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,25602.600,25602.600,10338304,10297344,unavailable,13451264,3276800,2957312,unavailable,2957312,2957312,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23416.000,23416.000,10297344,10301440,unavailable,13463552,2957312,2965504,unavailable,2965504,2965504,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23942.000,23942.000,10301440,10379264,unavailable,13467648,2965504,3346432,unavailable,3346432,3346432,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,26285.000,26285.000,10379264,10330112,unavailable,13467648,3346432,3117056,unavailable,3117056,3117056,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,24483.400,24483.400,10330112,10371072,unavailable,13467648,3117056,3309568,unavailable,3309568,3309568,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,24180.700,24180.700,10371072,10371072,unavailable,13467648,3309568,3231744,unavailable,3231744,3231744,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,22830.300,22830.300,10383360,10371072,unavailable,13467648,3244032,3309568,unavailable,3309568,3309568,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,23976.400,23976.400,10371072,10387456,unavailable,13467648,3309568,3469312,unavailable,3469312,3469312,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23600.000,23600.000,10387456,10379264,unavailable,13467648,3469312,3112960,unavailable,3112960,3112960,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,27315.600,27315.600,10379264,10399744,unavailable,13467648,3112960,3063808,unavailable,3063808,3063808,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,21720.100,21720.100,10399744,10465280,unavailable,13467648,3063808,3375104,unavailable,3375104,3375104,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,25094.000,25094.000,10465280,10551296,unavailable,13504512,3375104,3416064,unavailable,3416064,3416064,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,27288.700,27288.700,10551296,10514432,unavailable,13504512,3416064,3190784,unavailable,3190784,3190784,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,23984.700,23984.700,10514432,10637312,unavailable,13504512,3190784,3620864,unavailable,3620864,3620864,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,23564.800,23564.800,10637312,10526720,unavailable,13504512,3620864,3289088,unavailable,3289088,3289088,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,23505.600,23505.600,10526720,10633216,unavailable,13504512,3289088,3563520,unavailable,3563520,3563520,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,23652.000,23652.000,10633216,10665984,unavailable,13504512,3563520,3584000,unavailable,3584000,3584000,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,26065.800,26065.800,10665984,10604544,unavailable,13504512,3584000,3481600,unavailable,3481600,3481600,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,21999.700,21999.700,10604544,10629120,unavailable,13504512,3481600,3502080,unavailable,3502080,3502080,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,22955.600,22955.600,10629120,10575872,unavailable,13504512,3502080,3248128,unavailable,3248128,3248128,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,21245.000,21245.000,10575872,10563584,unavailable,13504512,3248128,3440640,unavailable,3440640,3440640,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,21671.800,21671.800,10563584,10555392,unavailable,13504512,3440640,3497984,unavailable,3497984,3497984,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,21902.600,21902.600,10575872,10637312,unavailable,13504512,3530752,3649536,unavailable,3649536,3649536,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,23594.600,23594.600,10637312,10657792,unavailable,13504512,3649536,3600384,unavailable,3600384,3600384,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,28985.800,28985.800,10657792,10604544,unavailable,13504512,3600384,3497984,unavailable,3497984,3497984,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,27423.900,27423.900,10604544,10608640,unavailable,13508608,3497984,3293184,unavailable,3293184,3293184,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,27300.800,27300.800,10608640,10698752,unavailable,13512704,3293184,3649536,unavailable,3649536,3649536,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,22726.500,22726.500,10698752,10690560,unavailable,13529088,3649536,3514368,unavailable,3514368,3514368,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,23205.300,23205.300,10690560,10715136,unavailable,13561856,3514368,3620864,unavailable,3620864,3620864,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,22997.800,22997.800,10715136,10629120,unavailable,13561856,3620864,3530752,unavailable,3530752,3530752,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,26824.000,26824.000,10629120,10670080,unavailable,13561856,3530752,3354624,unavailable,3354624,3354624,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,24057.100,24057.100,10674176,10620928,unavailable,13574144,3354624,3309568,unavailable,3309568,3309568,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,21377.600,21377.600,10620928,10633216,unavailable,13574144,3309568,3313664,unavailable,3313664,3313664,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,21951.600,21951.600,10633216,10715136,unavailable,13578240,3313664,3649536,unavailable,3649536,3649536,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,22356.300,22356.300,10715136,10625024,unavailable,13578240,3649536,3555328,unavailable,3555328,3555328,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,27047.300,27047.300,10625024,10735616,unavailable,13578240,3555328,3678208,unavailable,3678208,3678208,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,38,1,24601.200,24601.200,10735616,10665984,unavailable,13578240,3678208,3563520,unavailable,3563520,3563520,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,39,1,23902.400,23902.400,10665984,10719232,unavailable,13578240,3563520,3411968,unavailable,3411968,3411968,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,40,1,23450.900,23450.900,10719232,10792960,unavailable,13578240,3411968,3678208,unavailable,3678208,3678208,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,41,1,24158.800,24158.800,10792960,10747904,unavailable,13578240,3678208,3432448,unavailable,3432448,3432448,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,42,1,23885.500,23885.500,10752000,10719232,unavailable,13578240,3432448,3596288,unavailable,3596288,3596288,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,43,1,21787.400,21787.400,10719232,10735616,unavailable,13578240,3596288,3452928,unavailable,3452928,3452928,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,44,1,21270.600,21270.600,10735616,10723328,unavailable,13578240,3452928,3416064,unavailable,3416064,3416064,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,45,1,23609.100,23609.100,10723328,10682368,unavailable,13578240,3416064,3354624,unavailable,3354624,3354624,6402048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,46,1,21420.300,21420.300,10682368,10678272,unavailable,13578240,3354624,3354624,unavailable,3354624,3354624,6402048
