"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","16.600","18.900","54.000","54.000","15138816","17227776","8114176","8593408"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","44.460","47.660","64.200","64.200","15745024","17227776","8114176","8593408"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","300.616","351.192","375.811","375.811","15736832","15880192","5279744","6705152"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","47.567","50.500","50.867","50.867","13967360","17227776","6152192","7655424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","36.400","37.917","42.000","42.000","14049280","17227776","6627328","8593408"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1221.430","1272.220","1330.260","1330.260","16125952","17227776","5967872","7585792"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","44.500","49.212","92.312","92.312","16039936","17522688","8105984","8593408"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.233","15.767","17.000","17.000","12308480","13819904","5390336","6561792"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","15.800","17.900","118.700","118.700","14974976","17227776","7606272","7606272"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","21.000","22.300","27.400","27.400","12001280","13565952","4583424","6492160"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.650","18.100","21.550","21.550","12140544","13819904","4685824","6561792"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","14.450","15.200","18.950","18.950","13996032","17227776","6594560","7655424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","66.300","70.250","70.750","70.750","15454208","17227776","7606272","7606272"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","684.732","720.827","767.790","767.790","16920576","17227776","5984256","7098368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","344.062","384.256","400.713","400.713","16416768","17522688","6840320","8593408"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","173.225","182.312","194.825","194.825","13348864","13828096","5017600","6631424"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","855.380","919.980","963.520","963.520","16052224","17227776","6070272","7585792"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","25043.300","30847.400","32808.400","32808.400","10661888","13565952","3522560","6492160"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","24206.300","50398.000","50398.000","50398.000","10936320","13434880","3739648","6213632"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","6.300","7.000","12.200","12.200","114241536","153944064","102842368","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","6.380","6.580","7.860","7.860","115019776","153944064","103632896","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","6.695","6.900","7.532","7.532","104079360","153944064","92000256","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","6.267","6.567","8.767","8.767","111460352","153944064","99696640","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","6.333","6.483","7.333","7.333","112795648","153944064","101425152","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","6.430","6.760","7.020","7.020","106459136","153944064","94732288","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","6.388","6.612","7.125","7.125","116817920","153944064","105852928","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","4.333","4.567","5.400","5.400","103514112","153944064","91897856","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","6.300","6.800","7.500","7.500","110272512","153944064","99078144","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","4.500","4.800","5.200","5.200","101875712","153944064","90329088","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","4.450","4.800","4.900","4.900","102633472","153944064","91054080","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","6.250","7.150","15.450","15.450","110673920","153944064","99016704","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","6.300","6.750","7.100","7.100","109694976","153944064","98168832","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","6.724","6.968","7.388","7.388","105533440","153944064","94621696","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","6.425","6.900","8.425","8.425","116097024","153944064","104497152","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","6.663","6.800","7.600","7.600","104251392","153944064","92643328","175140864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","6.470","7.020","7.150","7.150","107102208","153944064","95330304","175140864"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23188.200","25301.500","25898.300","25898.300","98463744","153944064","87756800","175140864"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23092.800","2982514.800","2982514.800","2982514.800","100741120","153944064","89526272","175140864"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","17.036","17.625","25.567","25.567","64405504","253820928","27410432","301166592"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","17590.800","18646.000","19325.500","19325.500","63811584","253820928","29982720","301166592"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","17524.400","208039.500","208039.500","208039.500","63651840","253820928","29958144","301166592"
