"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","59.000","16.200","3.642","42.800","189263872","17010688","203632640","7000064"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","40.340","43.140","0.935","-2.800","190066688","17010688","204423168","8216576"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","614.251","289.938","2.119","324.313","185606144","15839232","193531904","5005312"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","52.200","46.267","1.128","5.933","187621376","17010688","201105408","6037504"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","46.900","35.600","1.317","11.300","187727872","17010688","202047488","7380992"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","470.210","1185.450","0.397","-715.240","185606144","17010688","195907584","5910528"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","46.150","43.300","1.066","2.850","191676416","17010688","206012416","8220672"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","26.433","15.000","1.762","11.433","185606144","13914112","191942656","5156864"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","63.200","15.100","4.185","48.100","185606144","17010688","198467584","7667712"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","60.900","20.400","2.985","40.500","185606144","13651968","190619648","4706304"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","45.550","16.900","2.695","28.650","185606144","13869056","190619648","4628480"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","81.650","13.900","5.874","67.750","185737216","17010688","199524352","7958528"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","66.500","63.900","1.041","2.600","185606144","17010688","197840896","6168576"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1061.066","654.110","1.622","406.956","185606144","17010688","195112960","5988352"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","112.581","334.356","0.337","-221.775","190967808","17010688","205221888","6930432"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50.475","171.575","0.294","-121.100","185606144","13914112","192737280","4874240"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","488.290","831.740","0.587","-343.450","185606144","17010688","197046272","6524928"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22143.800","21858.600","1.013","285.200","185606144","13651968","189825024","3407872"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22189.100","21873.200","1.014","315.900","185606144","13479936","189820928","3850240"
