"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","16.300","17.200","41.400","41.400","14966784","17321984","7843840","8826880"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","43.160","46.300","47.560","47.560","14483456","17321984","6877184","8826880"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","295.073","303.954","310.819","310.819","15646720","15847424","5201920","6635520"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","46.067","49.367","67.167","67.167","14426112","17321984","6647808","7884800"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","35.717","36.767","39.617","39.617","14508032","17321984","6979584","8826880"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1199.430","1209.130","1235.420","1235.420","16166912","17321984","6041600","7614464"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","43.613","45.637","46.862","46.862","16027648","17321984","8830976","8830976"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","14.900","15.467","24.333","24.333","12398592","13971456","5324800","6565888"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","15.100","16.000","20.500","20.500","14053376","17321984","6651904","7798784"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.400","21.700","61.000","61.000","12115968","13668352","4653056","6496256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.450","26.550","40.300","40.300","12234752","13971456","4759552","6565888"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","14.050","15.150","43.450","43.450","14204928","17321984","6737920","7868416"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","63.950","65.200","67.150","67.150","14065664","17321984","6332416","7618560"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","663.669","670.398","674.337","674.337","16986112","17321984","5955584","7151616"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","334.925","337.281","339.150","339.150","16429056","17321984","7036928","8826880"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","168.950","179.287","183.575","183.575","13418496","13971456","5058560","6565888"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","836.950","843.090","923.500","923.500","16293888","17321984","6311936","7614464"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23680.200","64235.600","85439.600","85439.600","10645504","13668352","3534848","6496256"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","29083.900","84886.800","84886.800","84886.800","10940416","13500416","3842048","6217728"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","80","80","56.000","58.400","60.600","60.600","189222912","189231104","203558912","203558912"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","80","400","38.300","39.300","39.700","39.700","190787584","190787584","205144064","205144064"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","624.265","630.865","664.711","664.711","179699712","185819136","194134016","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","80","240","49.000","50.133","51.067","51.067","187334656","187334656","201617408","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","80","480","44.650","45.867","47.117","47.117","188534784","188538880","202932224","202932224"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","464.720","472.160","499.560","499.560","181923840","185819136","196153344","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","80","640","43.975","45.612","46.638","46.638","192258048","192389120","206708736","206708736"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","25.500","26.700","27.500","27.500","177885184","185819136","192688128","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","80","80","60.200","62.800","66.400","66.400","185217024","185819136","199479296","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","57.500","61.700","64.100","64.100","176570368","185819136","191025152","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","44.000","46.200","47.750","47.750","176607232","185819136","191025152","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","80","160","80.500","82.800","84.050","84.050","186601472","186601472","200900608","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","80","160","61.400","63.250","70.900","70.900","184336384","185819136","198688768","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1053.805","1098.300","1202.336","1202.336","181387264","185819136","195715072","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","80","1280","107.806","109.569","119.500","119.500","190885888","190885888","205287424","205287424"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","49.113","51.188","51.900","51.900","179298304","185819136","193536000","201936896"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","466.440","476.010","485.150","485.150","183001088","185819136","197050368","201936896"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22829.300","23161.500","23501.700","23501.700","175599616","185819136","190234624","201936896"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","22730.100","2765779.400","2765779.400","2765779.400","175271936","185819136","190205952","201936896"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","310.767","322.031","326.733","326.733","79581184","510377984","35323904","541605888"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","35422.900","37281.300","54292.200","54292.200","59723776","510377984","28012544","541605888"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","34900.900","151900.400","151900.400","151900.400","77434880","510377984","33366016","541605888"
