"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","290.268","293.941","304.959","304.959","15646720","15896576","5259264","6606848"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1182.060","1191.490","1253.070","1253.070","16228352","17182720","6242304","7585792"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.000","15.567","19.067","19.067","12218368","13848576","4792320","6496256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.100","22.000","71.100","71.100","11821056","13647872","5099520","6496256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","16.750","17.200","19.400","19.400","12013568","13848576","4517888","6496256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","654.524","660.136","676.666","676.666","16916480","17182720","5984256","7118848"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","168.062","176.488","180.700","180.700","13139968","13848576","4833280","6496256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","830.160","833.910","834.820","834.820","16064512","17182720","6242304","7593984"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","27963.600","30767.600","36552.500","36552.500","10657792","13647872","3387392","6496256"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","27602.900","50659.100","50659.100","50659.100","10993664","13520896","3870720","6279168"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","580.459","589.268","600.378","600.378","179920896","185692160","194412544","201854976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","467.680","479.460","481.430","481.430","182063104","185692160","196194304","201854976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","25.067","26.133","26.700","26.700","178053120","185692160","192397312","201854976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","56.600","60.900","62.200","62.200","176799744","185692160","190976000","201854976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","43.550","45.300","45.900","45.900","177430528","185692160","191770624","201854976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1028.820","1085.558","1279.154","1279.154","180543488","185692160","194785280","201854976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","45.163","46.725","47.462","47.462","178683904","185692160","193024000","201854976"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","480.130","493.390","514.790","514.790","183635968","185692160","197779456","201854976"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22263.800","22606.600","22654.100","22654.100","176599040","185692160","190976000","201854976"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","22062.200","2808442.300","2808442.300","2808442.300","174936064","185692160","189710336","201854976"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","331.782","347.056","363.748","363.748","80117760","511512576","35966976","542842880"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","36501.900","37448.000","40150.600","40150.600","61308928","511512576","29786112","542842880"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","35675.000","159387.900","159387.900","159387.900","78393344","511512576","34598912","542842880"
