"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","56478.200","56478.200","7036928","10612736","9945088","11665408","1601536","3321856","2609152","3321856","3321856","5660672"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","33770.300","33770.300","9949184","10899456","10006528","13385728","2609152","3612672","2613248","3612672","3612672","6078464"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","32004.200","32004.200","10006528","10952704","10055680","13385728","2613248","3702784","2670592","3702784","3702784","6082560"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","31054.600","31054.600","10055680","10956800","10092544","13385728","2670592","3682304","2707456","3682304","3682304","6082560"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","30658.500","30658.500","10092544","11034624","10252288","13418496","2707456","3837952","3100672","3837952","3837952","6107136"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","33073.500","33073.500","10256384","11034624","10256384","13496320","3641344","3809280","2916352","3809280","3809280","6217728"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","35209.700","35209.700","10256384","11030528","10268672","13496320","2916352","3784704","3182592","3784704","3784704","6221824"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","32586.600","32586.600","10268672","11042816","10235904","13496320","3182592","3833856","3293184","3833856","3833856","6221824"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","31216.400","31216.400","10235904","11059200","10280960","13508608","3293184","3887104","2994176","3887104","3887104","6234112"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","31523.200","31523.200","10285056","10407936","unavailable","13508608","3608576","3063808","unavailable","3063808","3063808","6234112"
