"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","593.035","297.062","1.996","295.973","185438208","16003072","194584576","5095424"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","482.790","1201.160","0.402","-718.370","185438208","17756160","196775936","6172672"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","24.733","14.733","1.679","10.000","185438208","13910016","192557056","5046272"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","57.000","20.300","2.808","36.700","185438208","13672448","190971904","4440064"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","43.200","16.750","2.579","26.450","185438208","13910016","191762432","4628480"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1094.756","666.820","1.642","427.936","185438208","17756160","195510272","6197248"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","44.775","167.350","0.268","-122.575","185438208","13910016","193978368","4726784"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","508.750","841.130","0.605","-332.380","185438208","17756160","197566464","6242304"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23208.700","23671.800","0.980","-463.100","185438208","13672448","190181376","3444736"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23321.200","24113.700","0.967","-792.500","185438208","13488128","190177280","3788800"
