"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","43461.600","43461.600","7036928","10551296","9900032","11640832","1613824","3297280","2510848","3297280","3297280","5652480"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","94726.400","94726.400","9904128","10895360","10002432","13344768","2510848","3616768","2613248","3616768","3616768","6025216"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","29605.400","29605.400","10002432","10911744","9981952","13381632","2613248","3706880","2596864","3706880","3706880","6094848"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","65624.700","65624.700","9981952","10944512","10149888","13381632","2596864","3747840","2830336","3747840","3747840","6094848"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","28372.200","28372.200","10149888","10956800","10145792","13434880","2830336","3817472","3092480","3817472","3817472","6164480"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","29197.400","29197.400","10145792","10952704","10149888","13438976","3092480","3776512","2822144","3776512","3776512","6164480"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","25283.900","25283.900","10149888","10985472","10162176","13443072","2822144","3768320","2822144","3768320","3768320","6164480"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","25473.100","25473.100","10162176","10997760","10203136","13479936","2822144","3796992","2879488","3796992","3796992","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","25189.500","25189.500","10203136","10997760","10211328","13479936","2879488","3805184","3182592","3805184","3805184","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","24973.100","24973.100","10215424","10407936","unavailable","13488128","3186688","3067904","unavailable","3067904","3067904","6258688"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","28245.500","28245.500","10407936","10346496","unavailable","13516800","3067904","3010560","unavailable","3010560","3010560","6258688"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","28123.000","28123.000","10346496","10465280","unavailable","13520896","3010560","3502080","unavailable","3502080","3502080","6258688"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","24572.100","24572.100","10465280","10457088","unavailable","13520896","3502080","3452928","unavailable","3452928","3452928","6258688"
