engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2795727.200,2795727.200,4153344,173920256,174034944,185860096,700416,189431808,189431808,189431808,189431808,202297344
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23487.500,23487.500,174063616,174133248,174137344,185860096,189431808,189153280,189153280,189153280,189153280,202297344
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,25199.500,25199.500,174137344,174796800,173551616,185860096,189153280,190115840,188530688,190115840,190115840,202297344
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,25103.400,25103.400,173551616,174829568,173580288,185860096,188530688,190115840,188530688,190115840,190115840,202297344
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,22700.100,22700.100,173580288,174829568,173580288,185860096,188530688,190115840,188530688,190115840,190115840,202297344
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,22636.800,22636.800,173580288,174964736,173621248,185860096,188530688,190115840,188579840,190115840,190115840,202297344
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,22901.000,22901.000,173621248,174878720,174878720,185860096,188579840,190164992,190164992,190164992,190164992,202297344
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,22837.100,22837.100,174878720,174919680,174919680,185860096,190164992,190164992,190164992,190164992,190164992,202297344
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22640.500,22640.500,174919680,175026176,175030272,185860096,190164992,190164992,190164992,190164992,190164992,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,22514.900,22514.900,175030272,175091712,unavailable,185860096,190164992,190164992,unavailable,190164992,190164992,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,22188.000,22188.000,175091712,175099904,unavailable,185860096,190164992,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,22464.200,22464.200,175099904,175153152,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,22395.200,22395.200,175153152,175169536,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,22228.700,22228.700,175169536,175177728,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,22164.600,22164.600,175185920,175173632,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,22202.000,22202.000,175173632,175185920,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,22245.800,22245.800,175185920,175194112,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,22127.400,22127.400,175194112,175185920,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,22089.500,22089.500,175185920,175190016,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,22247.800,22247.800,175190016,175243264,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,22197.600,22197.600,175243264,175292416,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,22243.400,22243.400,175292416,175316992,unavailable,185860096,190169088,190169088,unavailable,190169088,190169088,202297344
