"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","577.927","295.514","1.956","282.413","185720832","15904768","193826816","4984832"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","454.260","1201.130","0.378","-746.870","185720832","17244160","196014080","6115328"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","24.967","15.033","1.661","9.934","185720832","13869056","192270336","4931584"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","57.500","20.400","2.819","37.100","185720832","13586432","190853120","4276224"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","43.650","17.100","2.553","26.550","185720832","13869056","192270336","4399104"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1030.071","667.915","1.542","362.156","185720832","17244160","195387392","6017024"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","45.037","171.200","0.263","-126.163","185720832","13869056","193200128","4665344"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","471.260","838.290","0.562","-367.030","185720832","17735680","197087232","6131712"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22502.900","24511.300","0.918","-2008.400","185720832","13586432","190062592","3395584"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23336.500","24133.700","0.967","-797.200","185720832","13451264","190042112","3739648"
