engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2834120.600,2834120.600,4145152,173453312,173563904,185720832,679936,189251584,189251584,189251584,189251584,202326016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23862.500,23862.500,173592576,174813184,174813184,185720832,189251584,190042112,190042112,190042112,190042112,202326016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,25212.200,25212.200,174813184,174862336,174862336,185720832,190042112,190042112,190042112,190042112,190042112,202326016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,24481.900,24481.900,174862336,174923776,174923776,185720832,190042112,190042112,190042112,190042112,190042112,202326016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,22576.400,22576.400,174923776,174956544,173527040,185720832,190042112,190042112,188473344,190042112,190042112,202326016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,22283.200,22283.200,173527040,174923776,174923776,185720832,188473344,190058496,190058496,190058496,190058496,202326016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,22117.400,22117.400,174923776,174956544,174956544,185720832,190058496,190058496,190058496,190058496,190058496,202326016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,22842.200,22842.200,174956544,175001600,175001600,185720832,190058496,190058496,190058496,190058496,190058496,202326016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23336.500,23336.500,175001600,175009792,175009792,185720832,190058496,190058496,190058496,190058496,190058496,202326016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,22233.400,22233.400,175009792,175013888,unavailable,185720832,190058496,190062592,unavailable,190062592,190062592,202326016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,22325.700,22325.700,175013888,175009792,unavailable,185720832,190062592,190062592,unavailable,190062592,190062592,202326016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,22430.600,22430.600,175009792,175034368,unavailable,185720832,190062592,190062592,unavailable,190062592,190062592,202326016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,22316.400,22316.400,175034368,175034368,unavailable,185720832,190062592,190062592,unavailable,190062592,190062592,202326016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23231.700,23231.700,175034368,175038464,unavailable,185720832,190062592,190062592,unavailable,190062592,190062592,202326016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,22191.700,22191.700,175046656,175038464,unavailable,185720832,190062592,190062592,unavailable,190062592,190062592,202326016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,22205.600,22205.600,175038464,175087616,unavailable,185720832,190062592,190062592,unavailable,190062592,190062592,202326016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,22242.500,22242.500,175087616,175095808,unavailable,185720832,190062592,190062592,unavailable,190062592,190062592,202326016
