"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","6.300","17.200","0.366","-10.900","208437248","21733376","152289280","11821056"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","6.280","44.720","0.140","-38.440","208437248","21733376","153079808","11821056"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","6.684","306.127","0.022","-299.443","208437248","20365312","144789504","9158656"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","6.167","47.733","0.129","-41.566","208437248","21733376","149917696","10874880"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","6.317","37.083","0.170","-30.766","208437248","21733376","150876160","11812864"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","6.340","1238.750","0.005","-1232.410","208437248","21733376","147628032","7516160"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","6.350","44.787","0.142","-38.437","208437248","21733376","155873280","11816960"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","4.367","15.467","0.282","-11.100","208437248","17571840","140959744","5844992"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","6.300","15.600","0.404","-9.300","208437248","21733376","148316160","8257536"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","4.400","22.300","0.197","-17.900","208437248","16797696","139599872","5951488"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4.350","18.400","0.236","-14.050","208437248","17571840","139792384","5918720"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","6.250","14.500","0.431","-8.250","208437248","21733376","148316160","10706944"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","6.450","64.900","0.099","-58.450","208437248","21733376","147423232","10592256"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","6.798","682.720","0.010","-675.922","208437248","21733376","146051072","7430144"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","6.394","349.375","0.018","-342.981","208437248","21733376","155873280","8314880"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","6.612","175.488","0.038","-168.876","208437248","17571840","141905920","6336512"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","6.320","858.160","0.007","-851.840","208437248","21733376","148434944","7725056"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","289326.300","55535.100","5.210","233791.200","208437248","16797696","135720960","3993600"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","291044.800","60088.200","4.844","230956.600","208437248","16429056","137965568","4825088"
