"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","58.600","16.300","3.595","42.300","189415424","18034688","203960320","8364032"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","39.600","43.940","0.901","-4.340","190017536","18034688","204713984","7163904"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","622.411","295.411","2.107","327.000","186167296","16494592","194633728","5189632"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","51.033","46.833","1.090","4.200","187133952","18034688","201400320","6606848"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","45.583","36.017","1.266","9.566","188526592","18034688","202981376","7073792"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","473.460","1194.880","0.396","-721.420","186167296","18034688","196849664","6270976"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","44.837","44.262","1.013","0.575","191934464","18141184","206299136","7999488"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","25.800","14.967","1.724","10.833","186167296","14327808","192425984","4710400"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","63.300","15.200","4.164","48.100","186167296","18034688","199860224","6520832"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","59.500","20.700","2.874","38.800","186167296","14045184","191102976","4542464"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","45.400","17.150","2.647","28.250","186167296","14327808","191102976","4947968"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","81.750","14.150","5.777","67.600","186167296","18034688","200626176","6844416"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","64.650","65.350","0.989","-0.700","186167296","18034688","198438912","6467584"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1083.781","667.380","1.624","416.401","186167296","17719296","195264512","5840896"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","109.781","342.131","0.321","-232.350","191086592","18141184","205508608","8003584"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","51.300","172.825","0.297","-121.525","186167296","14327808","193540096","4849664"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","490.670","844.600","0.581","-353.930","186167296","18034688","197865472","6184960"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23085.800","23844.800","0.968","-759.000","186167296","14045184","191102976","3686400"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23145.600","25193.900","0.919","-2048.300","186167296","13852672","191098880","3686400"
