input,engine,run1_median_us,run2_median_us,run3_median_us,run4_median_us,run5_median_us,median_of_five_us,worst_run_median_us,spread_pct,comparison_boundary
n,yune,3.0,2.958,3.0,3.958,3.041,3.0,3.958,33.80662609871535,same-Mac absolute latency only
n,librime-1.17.0,21.375,24.25,23.625,21.583,19.333,21.583,24.25,25.43319712408836,same-Mac absolute latency only
ni,yune,2.938,2.917,2.896,3.729,2.917,2.917,3.729,28.76381215469614,same-Mac absolute latency only
ni,librime-1.17.0,16.834,19.334,16.729,17.27,15.834,16.834,19.334,22.104332449160037,same-Mac absolute latency only
hao,yune,2.93,2.917,2.875,3.917,2.875,2.917,3.917,36.24347826086956,same-Mac absolute latency only
hao,librime-1.17.0,13.319,17.264,13.403,13.667,21.861,13.667,21.861,64.13394398978902,same-Mac absolute latency only
zhongguo,yune,3.203,3.203,3.193,3.781,3.203,3.203,3.781,18.415283432508613,same-Mac absolute latency only
zhongguo,librime-1.17.0,111.625,110.167,107.427,111.037,104.641,110.167,111.625,6.674248143653055,same-Mac absolute latency only
ceshiyixiachangjushuruxingnengzenyang,yune,3.118,3.119,3.073,3.726,3.056,3.118,3.726,21.924083769633505,same-Mac absolute latency only
ceshiyixiachangjushuruxingnengzenyang,librime-1.17.0,168.624,164.555,163.709,167.895,170.471,167.895,170.471,4.130499850344208,same-Mac absolute latency only
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,3.141,3.131,3.208,3.715,3.456,3.208,3.715,18.652187799425107,same-Mac absolute latency only
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,librime-1.17.0,393.225,383.609,381.997,392.011,495.927,392.011,495.927,29.8248415563473,same-Mac absolute latency only
cszysmsrsd,yune,3.125,3.112,3.15,3.596,3.421,3.15,3.596,15.552699228791772,same-Mac absolute latency only
cszysmsrsd,librime-1.17.0,811.358,791.954,784.9,814.925,1422.983,811.358,1422.983,81.29481462606701,same-Mac absolute latency only
zybfshmsru,yune,3.175,3.079,3.175,4.25,3.196,3.175,4.25,38.03182851575186,same-Mac absolute latency only
zybfshmsru,librime-1.17.0,550.646,538.15,535.125,563.708,757.725,550.646,757.725,41.597757533286625,same-Mac absolute latency only
zh,yune,4.458,4.292,4.479,5.938,4.625,4.479,5.938,38.350419384902146,same-Mac absolute latency only
zh,librime-1.17.0,44.021,43.562,43.041,44.48,58.291,44.021,58.291,35.43133291512744,same-Mac absolute latency only
j,yune,4.458,4.416,4.542,5.917,5.625,4.542,5.917,33.99003623188404,same-Mac absolute latency only
j,librime-1.17.0,10.541,11.209,10.792,10.709,12.917,10.792,12.917,22.540555924485336,same-Mac absolute latency only
yi,yune,4.375,4.333,4.458,5.938,4.98,4.458,5.938,37.041310870066916,same-Mac absolute latency only
yi,librime-1.17.0,10.604,11.229,10.354,10.312,11.708,10.604,11.708,13.537626066718394,same-Mac absolute latency only
che,yune,3.889,3.75,3.875,5.208,4.417,3.889,5.208,38.88,same-Mac absolute latency only
che,librime-1.17.0,35.306,38.375,37.514,35.583,37.083,37.083,38.375,8.692573500254923,same-Mac absolute latency only
chuang,yune,3.243,3.264,3.354,4.431,3.833,3.354,4.431,36.632747456059214,same-Mac absolute latency only
chuang,librime-1.17.0,24.958,27.076,26.66,24.056,27.194,26.66,27.194,13.044562687063511,same-Mac absolute latency only
b,yune,4.417,4.375,4.542,5.792,5.083,4.542,5.792,32.388571428571424,same-Mac absolute latency only
b,librime-1.17.0,12.667,13.583,13.209,11.708,13.541,13.209,13.583,16.014690809702767,same-Mac absolute latency only
ceshi,yune,3.425,3.392,3.508,4.5,3.833,3.508,4.5,32.66509433962265,same-Mac absolute latency only
ceshi,librime-1.17.0,33.25,35.567,35.2,31.333,35.833,35.2,35.833,14.361854913350141,same-Mac absolute latency only
zhongdengchangdu,yune,3.01,2.992,3.076,4.01,3.372,3.076,4.01,34.02406417112299,same-Mac absolute latency only
zhongdengchangdu,librime-1.17.0,204.453,202.427,199.508,220.721,271.26,204.453,271.26,35.96447260260239,same-Mac absolute latency only
dazisudu,yune,3.141,3.188,3.219,4.297,3.562,3.219,4.297,36.80356574339381,same-Mac absolute latency only
dazisudu,librime-1.17.0,27.823,27.234,27.38,28.74,31.943,27.823,31.943,17.290886392009984,same-Mac absolute latency only
