"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","296.095","308.619","314.630","314.630","15466496","16011264","5107712","6602752"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1191.240","1206.300","1208.680","1208.680","16347136","17788928","6115328","7733248"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","14.900","17.767","38.967","38.967","12242944","13897728","5009408","6529024"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.600","24.800","59.200","59.200","11841536","13635584","4337664","6459392"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.050","18.050","26.850","26.850","12152832","13897728","4689920","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","667.281","676.234","680.736","680.736","17145856","17522688","6246400","7258112"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","178.525","192.850","201.112","201.112","13127680","13897728","4726784","6529024"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","845.790","860.650","864.640","864.640","16216064","17788928","6193152","7733248"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","25318.800","37087.000","92565.300","92565.300","10649600","13635584","3407872","6455296"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","24594.400","44839.400","44839.400","44839.400","10973184","13479936","3809280","6209536"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","570.603","587.838","607.186","607.186","179269632","185593856","193806336","201867264"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","472.330","476.590","482.140","482.140","182415360","185593856","196886528","201867264"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","24.733","25.800","29.100","29.100","177659904","185593856","192225280","201867264"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","56.600","61.000","62.700","62.700","175837184","185593856","190230528","201867264"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","43.550","45.300","50.250","50.250","176504832","185593856","191025152","201867264"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1008.471","1049.973","1101.558","1101.558","180912128","185593856","195301376","201867264"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","44.700","47.038","49.575","49.575","178405376","185593856","193015808","201867264"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","479.930","495.230","498.230","498.230","183177216","185593856","197517312","201867264"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22408.600","22814.700","23183.500","23183.500","175624192","185593856","190205952","201867264"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","22298.500","2768665.800","2768665.800","2768665.800","174620672","185593856","189411328","201867264"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","314.836","353.343","362.575","362.575","79867904","511213568","35590144","542023680"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","35007.100","35822.400","35976.300","35976.300","60841984","511213568","29044736","542023680"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","34514.300","150944.300","150944.300","150944.300","78106624","511213568","33964032","542023680"
