"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","b","55.300","16.400","3.372","38.900","189480960","17641472","204132352","8691712"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshi","38.580","42.920","0.899","-4.340","190230528","17641472","205434880","6938624"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","620.997","292.968","2.120","328.029","185839616","16027648","194699264","5009408"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","che","49.233","45.833","1.074","3.400","187133952","17641472","201920512","8056832"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","chuang","45.200","35.617","1.269","9.583","187936768","17641472","202547200","7098368"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","486.460","1211.400","0.402","-724.940","185839616","17432576","196435968","6168576"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","dazisudu","43.925","43.338","1.014","0.587","192163840","17641472","206807040","8994816"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","25.800","15.067","1.712","10.733","185839616","13803520","192450560","4603904"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","j","59.800","15.100","3.960","44.700","185839616","17641472","199708672","6672384"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","57.200","21.200","2.698","36.000","185839616","13627392","191029248","4501504"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","44.400","16.900","2.627","27.500","185839616","13803520","191823872","4751360"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","yi","81.150","14.100","5.755","67.050","186474496","17641472","200900608","8011776"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zh","61.750","63.500","0.972","-1.750","185839616","17641472","198918144","6012928"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1089.461","672.254","1.621","417.207","185839616","17432576","195051520","6213632"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongdengchangdu","108.875","335.438","0.325","-226.563","190902272","17641472","205848576","7122944"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","48.925","168.888","0.290","-119.963","185839616","13803520","193241088","4755456"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","481.980","855.630","0.563","-373.650","185839616","17641472","198131712","6250496"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22261.600","23125.100","0.963","-863.500","185839616","13627392","190181376","3387392"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22282.900","23693.200","0.940","-1410.300","185839616","13479936","190177280","3842048"
