"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","292.365","297.935","328.246","328.246","15618048","15859712","5132288","6483968"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1179.200","1204.840","1269.590","1269.590","16171008","17244160","6340608","7368704"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","14.933","15.667","24.433","24.433","11870208","13778944","4567040","6447104"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.600","23.000","55.100","55.100","11776000","13602816","4325376","6410240"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.200","19.200","47.150","47.150","11935744","13778944","4526080","6447104"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","658.502","671.019","892.598","892.598","16896000","17244160","5877760","7032832"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","168.988","183.137","186.912","186.912","13225984","13778944","4870144","6447104"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","830.450","839.070","842.010","842.010","16064512","17244160","6103040","7503872"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","24673.800","30996.800","33956.900","33956.900","10690560","13602816","3555328","6410240"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","26908.100","41944.200","41944.200","41944.200","11005952","13430784","3796992","6148096"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","578.249","593.516","605.957","605.957","179560448","185683968","193540096","201445376"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","467.230","474.440","478.190","478.190","182460416","185683968","196399104","201445376"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","24.667","25.667","34.600","34.600","178114560","185683968","192241664","201445376"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","56.400","60.600","81.600","81.600","176717824","185683968","190656512","201445376"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","43.200","45.050","56.600","56.600","176730112","185683968","190656512","201445376"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1028.305","1080.331","1227.520","1227.520","180854784","185683968","194809856","201445376"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","44.450","45.750","48.013","48.013","178704384","185683968","192913408","201445376"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","475.760","485.860","541.150","541.150","183545856","185683968","197455872","201445376"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22581.300","22910.300","23321.500","23321.500","175788032","185683968","189865984","201445376"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","22614.700","2754280.000","2754280.000","2754280.000","175329280","185683968","189861888","201445376"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","304.407","315.211","333.552","333.552","80003072","511856640","35819520","543313920"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","36175.500","36836.400","37619.300","37619.300","60538880","511856640","28897280","543313920"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","35057.600","150228.500","150228.500","150228.500","78229504","511856640","34283520","543313920"
