round,engine,input,input_chars,iterations,metrics_mode,median_us_per_key,p95_us_per_key,mean_us_per_key
1,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,on,552.788851,561.225243,554.161572
1,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,off,552.335027,570.994378,554.325732
1,librime,ceshiyixiachangjushuruxingnengzenyang,37,80,off,162.284338,167.192568,162.723028
1,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,on,958.053669,962.277542,957.563886
1,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,961.374288,965.721034,961.614662
1,librime,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,383.358398,392.019068,385.473393
2,librime,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,387.782839,401.631356,389.489222
2,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,989.185381,1060.583339,1001.505262
2,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,on,969.018017,983.460441,971.007760
2,librime,ceshiyixiachangjushuruxingnengzenyang,37,80,off,167.043351,176.435811,169.988570
2,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,off,556.154284,559.539432,556.344213
2,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,on,556.409905,563.706081,556.640190
3,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,on,554.223541,559.503378,554.927280
3,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,off,569.007878,605.609216,573.386360
3,librime,ceshiyixiachangjushuruxingnengzenyang,37,80,off,165.246622,170.102486,165.786559
3,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,on,973.960093,997.784610,979.277163
3,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,965.322737,973.153254,965.887305
3,librime,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,386.591814,391.055797,385.437560
4,librime,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,405.753178,427.546610,405.842840
4,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,969.436085,978.866525,969.991216
4,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,on,969.043432,976.622881,969.617443
4,librime,ceshiyixiachangjushuruxingnengzenyang,37,80,off,168.650338,173.676811,169.025507
4,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,off,559.190878,563.599081,559.552153
4,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,on,554.775905,560.233108,554.804672
5,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,on,559.643581,564.665541,558.904477
5,yune,ceshiyixiachangjushuruxingnengzenyang,37,80,off,556.422851,561.320946,556.642032
5,librime,ceshiyixiachangjushuruxingnengzenyang,37,80,off,169.264095,173.715081,167.695328
5,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,on,991.457983,1056.641237,1002.639708
5,yune,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,970.201636,974.562864,969.408484
5,librime,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,80,off,384.641949,388.697746,383.358519
