input,mac_yune_median_us_per_key,windows_yune_median_us_per_key,yune_mac_vs_windows_pct,mac_librime_median_us_per_key,windows_librime_median_us_per_key,librime_mac_vs_windows_pct,mac_yune_librime_ratio,windows_yune_librime_ratio,ratio_change_pct,diagnostic_classification
n,65.166,58.100,12.2,23.542,20.600,14.3,2.712,2.820,-3.8,close
ni,45.209,44.450,1.7,19.354,17.150,12.9,2.336,2.599,-10.1,notable
hao,26.722,25.800,3.6,14.958,15.000,-0.3,1.776,1.720,3.3,close
zhongguo,48.172,50.387,-4.4,108.870,172.175,-36.8,0.443,0.293,51.2,material
ceshiyixiachangjushuruxingnengzenyang,567.748,636.324,-10.8,164.783,298.476,-44.8,3.449,2.132,61.8,material
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,985.835,1127.444,-12.6,386.506,670.517,-42.4,2.555,1.681,52.0,material
cszysmsrsd,392.375,481.250,-18.5,802.292,1211.130,-33.8,0.501,0.396,26.5,material
zybfshmsru,404.171,483.350,-16.4,542.354,856.680,-36.7,0.754,0.569,32.5,material
zh,68.270,63.600,7.3,44.000,64.400,-31.7,1.562,0.986,58.4,material
j,59.875,60.800,-1.5,11.209,15.200,-26.3,5.342,4.000,33.5,material
yi,77.771,81.300,-4.3,11.104,14.150,-21.5,7.021,5.777,21.5,notable
che,53.820,50.133,7.4,37.542,46.633,-19.5,1.410,1.081,30.4,material
chuang,45.958,45.683,0.6,26.062,36.017,-27.6,1.763,1.266,39.3,material
b,56.167,56.400,-0.4,13.250,16.400,-19.2,4.186,3.439,21.7,notable
ceshi,38.600,38.980,-1.0,34.842,43.560,-20.0,1.129,0.895,26.1,material
zhongdengchangdu,95.810,109.844,-12.8,202.773,341.575,-40.6,0.471,0.322,46.3,material
dazisudu,42.120,45.013,-6.4,27.542,43.637,-36.9,1.529,1.034,47.9,material
