track,schema_id,workload,input,yune_median_us,librime_median_us,yune_librime_median_ratio,absolute_gap_us,yune_max_peak_working_set_bytes,librime_max_peak_working_set_bytes,yune_median_private_bytes,librime_median_private_bytes
track-a-comparison,luna_pinyin,key_sequence_process_with_context,b,76.333,12.000,6.361,64.333,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshi,46.092,33.175,1.389,12.917,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,67.914,163.753,0.415,-95.839,187990016,15204352,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,che,96.681,34.000,2.844,62.681,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,chuang,61.604,24.257,2.540,37.347,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,508.042,785.596,0.647,-277.554,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,dazisudu,41.755,26.656,1.566,15.099,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,27.986,12.375,2.261,15.611,187990016,9519104,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,j,76.750,10.208,7.519,66.542,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,91.291,23.750,3.844,67.541,187990016,9371648,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,49.645,16.625,2.986,33.020,187990016,9437184,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,yi,42.042,10.250,4.102,31.792,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,zh,139.667,42.188,3.311,97.479,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,81.965,381.258,0.215,-299.293,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongdengchangdu,81.117,197.875,0.410,-116.758,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,109.729,108.339,1.013,1.390,187990016,11632640,unavailable,unavailable
track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,491.087,532.571,0.922,-41.484,187990016,16138240,unavailable,unavailable
track-a-comparison,luna_pinyin,session_create_select_destroy,,18000.250,29011.041,0.620,-11010.791,187990016,8781824,unavailable,unavailable
track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,18039.667,36342.125,0.496,-18302.458,187990016,8601600,unavailable,unavailable
