engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,b,80,80,11.750,12.166,14.208,14.208,10649600,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshi,80,400,31.908,35.008,50.375,50.375,11288576,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,165.945,168.977,171.035,171.035,15106048,15122432,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,che,80,240,31.778,32.972,50.944,50.944,10993664,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,chuang,80,480,23.764,25.597,34.931,34.931,11108352,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,80,800,802.000,815.208,831.087,831.087,14876672,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,dazisudu,80,640,28.484,60.917,84.297,84.297,12091392,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,80,240,10.028,10.320,10.833,10.833,9551872,9551872,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,j,80,80,11.167,11.542,11.958,11.958,10502144,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,80,80,20.292,22.625,25.000,25.000,9322496,9388032,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,80,160,16.916,18.542,47.791,47.791,9453568,9469952,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,yi,80,160,9.146,9.375,9.688,9.688,10551296,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zh,80,160,43.666,45.000,68.729,68.729,11173888,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,4720,391.282,395.158,399.393,399.393,15941632,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongdengchangdu,80,1280,208.841,359.549,389.599,389.599,14598144,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,80,640,103.740,118.333,131.536,131.536,11517952,11534336,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,80,800,544.992,552.346,555.467,555.467,15024128,16039936,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,60,60,27841.417,30023.125,31234.750,31234.750,8421376,8814592,unavailable,unavailable
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,9,9,31691.000,51433.167,51433.167,51433.167,8421376,8650752,unavailable,unavailable
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,b,80,80,82.916,101.125,158.458,158.458,149585920,188121088,unavailable,unavailable
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshi,80,400,46.342,50.483,61.875,61.875,150372352,188121088,unavailable,unavailable
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,68.148,70.917,73.372,73.372,170033152,188121088,unavailable,unavailable
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,che,80,240,95.389,110.305,119.805,119.805,176766976,188121088,unavailable,unavailable
