kind,workload,input,observed_ratio,expected,status
latency_direction,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,60.680,yune slower than librime,confirmed
latency_direction,key_sequence_process_with_context,cszysmsrsd,5.083,yune faster than librime,contradicted
latency_direction,key_sequence_process_with_context,hao,1.392,yune slower than librime,confirmed
latency_direction,key_sequence_process_with_context,n,1.107,yune slower than librime,confirmed
latency_direction,key_sequence_process_with_context,ni,0.895,yune slower than librime,contradicted
latency_direction,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,42.365,yune slower than librime,confirmed
latency_direction,key_sequence_process_with_context,zhongguo,0.247,yune faster than librime,confirmed
latency_direction,key_sequence_process_with_context,zybfshmsru,7.339,yune faster than librime,contradicted
latency_noise_caveat,startup_warm_shared_assets_runtime_ready,,0.576,report says measured faster on Windows but run-noisy/platform-specific,confirmed-on-this-run
latency_noise_caveat,session_create_select_destroy,,0.597,report says measured faster on Windows but run-noisy/platform-specific,confirmed-on-this-run
candidate_snapshot,candidate_first_page,ceshiyixiachangjushuruxingnengzenyang,,first page may differ as disclosed,confirmed
candidate_snapshot,candidate_first_page,cszysmsrsd,,first page matches,contradicted
candidate_snapshot,candidate_first_page,hao,,first page matches,confirmed
candidate_snapshot,candidate_first_page,n,,first page may differ as disclosed,confirmed
candidate_snapshot,candidate_first_page,ni,,first page matches,confirmed
candidate_snapshot,candidate_first_page,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,,first page may differ as disclosed,confirmed
candidate_snapshot,candidate_first_page,zhongguo,,first page may differ as disclosed,confirmed
candidate_snapshot,candidate_first_page,zybfshmsru,,first page matches,contradicted
memory_direction,track-a-peak-resident,,28.051,Yune Track A peak resident memory remains above librime on native peer lane,confirmed
browser,browser-peer-dashboard,,,browser rows are carried evidence,not-rerun
