"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","11.533","12.367","34.800","34.800","12222464","14065664"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","30","27701.100","33666.600","34522.700","34522.700","10977280","14065664"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","29676.700","59770.600","59770.600","59770.600","11517952","14000128"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","39.233","40.533","41.267","41.267","90923008","127475712"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","30","24275.300","25385.700","25933.700","25933.700","87539712","127475712"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","23630.800","2868175.700","2868175.700","2868175.700","90259456","127475712"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","h","50","50","21888.600","23890.400","28372.200","28372.200","440496128","504545280"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ha","50","100","11639.250","12056.800","12092.400","12092.400","440500224","504545280"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","50","150","7580.300","7826.500","7988.433","7988.433","440537088","504545280"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hau","50","150","7712.200","9130.667","9159.400","9159.400","440504320","504545280"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","nei","50","150","3512.933","3651.333","3683.133","3683.133","440541184","504545280"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","50","3050","185.531","190.254","202.582","202.582","440492032","504545280"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngo","50","150","3687.833","3876.300","3923.867","3923.867","440532992","504545280"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","30","30","152062.900","167531.100","181524.200","181524.200","425721856","504545280"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","130177.900","937161.500","937161.500","937161.500","433098752","504545280"
