"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","80377.500","80377.500","7598080","11132928","10473472","12201984"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","31454.100","31454.100","10477568","11460608","10571776","13877248"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","42284.400","42284.400","10571776","11464704","10559488","13889536"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","50149.700","50149.700","10559488","11493376","10604544","13910016"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","30055.700","30055.700","10604544","11550720","10493952","13910016"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","53735.100","53735.100","10493952","11575296","10678272","13979648"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","32245.900","32245.900","10678272","11550720","10661888","13979648"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","46558.500","46558.500","10661888","10903552","unavailable","13991936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","29362.900","29362.900","10903552","10915840","unavailable","14028800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","46406.200","46406.200","10919936","10878976","unavailable","14028800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","26196.700","26196.700","10878976","10940416","unavailable","14036992"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","49003.700","49003.700","10940416","10932224","unavailable","14036992"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","31992.200","31992.200","10932224","10870784","unavailable","14036992"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","45774.100","45774.100","10870784","10878976","unavailable","14036992"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","28905.600","28905.600","10878976","10948608","unavailable","14036992"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","8","1","49883.900","49883.900","10948608","10940416","unavailable","14036992"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","9","1","29481.200","29481.200","10940416","10919936","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","1","50428.700","50428.700","10924032","10895360","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","11","1","29828.200","29828.200","10895360","10883072","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","12","1","51361.400","51361.400","10883072","10940416","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","13","1","29306.700","29306.700","10944512","10928128","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","14","1","46673.000","46673.000","10928128","11030528","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","15","1","55768.800","55768.800","11030528","10952704","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","16","1","32578.700","32578.700","10952704","10985472","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","17","1","52098.700","52098.700","10985472","10952704","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","18","1","30858.700","30858.700","10952704","10989568","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","19","1","51676.500","51676.500","10989568","11026432","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","1","54605.000","54605.000","11026432","11001856","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","21","1","92799.200","92799.200","11001856","11010048","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","22","1","30105.600","30105.600","11010048","10993664","unavailable","14045184"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","23","1","52050.900","52050.900","10993664","11038720","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","24","1","51295.700","51295.700","11038720","10985472","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","25","1","28884.900","28884.900","10985472","11030528","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","26","1","49660.900","49660.900","11034624","11038720","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","27","1","29300.300","29300.300","11038720","11132928","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","28","1","49885.000","49885.000","11132928","11124736","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","29","1","26994.900","26994.900","11124736","11157504","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","1","48732.500","48732.500","11157504","11202560","unavailable","14094336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","31","1","55239.200","55239.200","11202560","11259904","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","32","1","47146.900","47146.900","11259904","11292672","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","33","1","49078.200","49078.200","11292672","11288576","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","34","1","29327.800","29327.800","11288576","11173888","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","35","1","72169.700","72169.700","11173888","11259904","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","36","1","66896.100","66896.100","11264000","11227136","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","37","1","75821.100","75821.100","11227136","11280384","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","38","1","74809.800","74809.800","11280384","11304960","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","39","1","28758.900","28758.900","11304960","11280384","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","40","1","75199.900","75199.900","11280384","11169792","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","41","1","29660.800","29660.800","11169792","11239424","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","42","1","73696.000","73696.000","11239424","11345920","unavailable","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","43","1","29433.700","29433.700","11345920","11358208","unavailable","14172160"
