engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,1179660.500,1179660.500,10485760,429367296,416620544,504823808
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,157796.800,157796.800,416686080,432537600,419688448,504823808
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,162212.900,162212.900,419688448,433840128,420990976,504823808
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,165725.900,165725.900,420990976,434626560,421777408,504823808
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,159278.500,159278.500,421777408,436350976,423501824,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,202431.500,202431.500,423501824,424714240,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,192685.000,192685.000,424714240,424919040,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,205425.900,205425.900,424919040,425508864,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,204039.500,204039.500,425508864,426450944,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,209735.500,209735.500,426450944,427089920,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,194559.600,194559.600,427089920,427061248,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,187805.600,187805.600,427061248,427593728,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,201457.600,201457.600,427597824,427606016,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,199334.900,199334.900,427606016,426819584,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,205740.100,205740.100,426819584,427880448,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,231156.100,231156.100,427880448,428154880,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,195977.800,195977.800,428154880,427229184,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,192608.100,192608.100,427229184,426217472,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,13,1,191699.000,191699.000,426217472,427036672,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,14,1,194282.100,194282.100,427036672,427032576,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,15,1,192704.400,192704.400,427036672,427036672,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,16,1,204383.400,204383.400,427040768,428105728,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,17,1,229530.800,229530.800,428109824,427753472,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,18,1,190301.600,190301.600,427757568,427483136,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,19,1,185675.400,185675.400,427487232,428462080,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,20,1,189017.600,189017.600,428466176,428470272,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,21,1,217355.300,217355.300,428474368,429273088,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,22,1,212128.500,212128.500,429273088,429273088,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,23,1,205683.900,205683.900,429273088,429273088,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,24,1,191072.600,191072.600,429273088,430075904,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,25,1,180889.100,180889.100,430075904,430874624,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,26,1,215843.000,215843.000,430874624,430874624,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,27,1,202493.400,202493.400,430874624,430600192,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,28,1,196687.400,196687.400,430600192,431407104,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,29,1,191092.900,191092.900,431407104,429809664,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,0,61,2014.700,33.028,443531264,443531264,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,1,61,2029.700,33.274,443535360,443535360,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,2,61,2029.300,33.267,443535360,443535360,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,3,61,2030.300,33.284,443535360,443535360,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,4,61,2027.400,33.236,443535360,443535360,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,5,61,2027.800,33.243,443535360,443535360,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,6,61,2124.600,34.830,443535360,443535360,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,7,61,2290.300,37.546,443535360,443535360,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,8,61,2112.200,34.626,443535360,443535360,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,9,61,2102.000,34.459,443535360,443539456,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,10,61,2087.400,34.220,443539456,443539456,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,11,61,2082.000,34.131,443539456,443539456,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,12,61,2093.500,34.320,443539456,443539456,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,13,61,2087.300,34.218,443539456,443539456,unavailable,504823808
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,14,61,2083.900,34.162,443539456,443539456,unavailable,504823808
